submitted_at,ticker,paper_side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason,company_name,final_close_model_side,target_weight,current_weight,order_weight_delta,estimated_order_value,alpha_score,net_alpha_after_cost_bps,alpha_rank,quantile_bucket,top_positive_factor_contributors,top_negative_factor_contributors,residual_score,outlier_flag,price_flag,liquidity_flag,risk_flag,signal_price,reason_text,final_close_target_direction,final_close_has_nonzero_target,paper_signed_notional
2026-05-14T17:13:00.563471+00:00,DGXX,BUY,549,8.68,4765.32,False,Cancelled,1412,,1.0,2.0,0.4765319999999999,0.953064,1.429596,True,,Digi Power X Inc. Subordinate Voting Shares,SELL,0.0044573102678571,0.0044642857142857,-6.975446428571404e-06,-0.6975446428571404,0.0135232208750632,132.23220875063222,1.0,5.0,intraday_return;close_to_low_20;mom_21,parkinson_vol_20;volume_z_60;mom_10,,False,True,True,True,7.22,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 132.23 bps versus threshold 5.00 bps. Main contributors were intraday_return, close_to_low_20, mom_21. Price filter passed; liquidity filter passed.",LONG,True,4765.32
2026-05-14T17:13:00.563471+00:00,WYFI,BUY,68,30.16,2050.88,False,Cancelled,2423,,1.0,2.0,0.205088,0.410176,0.615264,True,,"WhiteFiber, Inc. Ordinary Shares",SHORT,-0.00078125,0.0,-0.00078125,-78.125,-0.0035810266882561,32.81026688256128,7234.0,1.0,mom_5;close_to_low_20;mom_21,intraday_return;volume_z_60;mom_10,,False,True,True,True,29.99,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 32.81 bps versus threshold 5.00 bps. Main contributors were intraday_return, volume_z_60, mom_10. Price filter passed; liquidity filter passed.",SHORT,True,2050.88
2026-05-14T17:13:00.563471+00:00,AAL,SELL,193,12.66,2443.38,False,Filled,1001,,1.0,2.0,0.244338,0.488676,0.733014,True,,American Airlines Group Inc.,,0.0,0.0,0.0,0.0,0.0026282001289707,23.28200128970702,598.0,5.0,parkinson_vol_20;intraday_return;volume_z_60,hl_range_20;close_to_high_20;volatility_20,,False,True,True,True,12.7,,FLAT,False,-2443.38
2026-05-14T17:13:00.563471+00:00,AAON,BUY,7,138.32,968.24,False,Filled,1004,,1.0,2.0,0.096824,0.193648,0.290472,True,,Aaon Inc,SELL,0.0036760602678571,0.0044642857142857,-0.0007882254464285,-78.82254464285712,0.0023899343902947,20.89934390294732,687.0,5.0,mom_21;close_to_low_20;mom_5,mom_10;intraday_return;volatility_10,,False,True,True,True,140.0,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 20.90 bps versus threshold 5.00 bps. Main contributors were mom_21, close_to_low_20, mom_5. Price filter passed; liquidity filter passed.",LONG,True,968.24
2026-05-14T17:13:00.563471+00:00,ABSI,BUY,624,5.6,3494.4,False,Filled,1007,,1.0,2.0,0.34944,0.69888,1.04832,True,,Absci Corporation Common Stock,SELL,0.0044573102678571,0.0044642857142857,-6.975446428571404e-06,-0.6975446428571404,0.005119826768291,48.19826768291051,176.0,5.0,mom_21;hl_range_20;intraday_return,parkinson_vol_20;overnight_return;mom_126,,False,True,True,True,5.54,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 48.20 bps versus threshold 5.00 bps. Main contributors were mom_21, hl_range_20, intraday_return. Price filter passed; liquidity filter passed.",LONG,True,3494.4
2026-05-14T17:13:00.563471+00:00,ACIC,BUY,44,10.58,465.52,False,Filled,1013,,1.0,2.0,0.0465519999999999,0.0931039999999999,0.139656,True,,American Coastal Insurance Corporation Common Stock,,0.0,0.0,0.0,0.0,0.0017336286077711,14.336286077711286,948.0,4.0,parkinson_vol_20;intraday_return;mom_10,hl_range_20;mom_21;price_kurt_63,,False,True,True,True,10.63,,FLAT,False,465.52
2026-05-14T17:13:00.563471+00:00,ADAM,BUY,106,9.08,962.48,False,Filled,1016,,1.0,2.0,0.096248,0.192496,0.288744,True,,"Adamas Trust, Inc. Common Stock",,0.0,0.0,0.0,0.0,0.0016144656917338,13.144656917338327,1002.0,4.0,parkinson_vol_20;dist_52w_high;mom_21,hl_range_20;close_to_high_20;price_kurt_63,,False,True,True,True,8.92,,FLAT,False,962.48
2026-05-14T17:13:00.563471+00:00,ADEA,BUY,78,31.04,2421.12,False,Filled,1019,,1.0,2.0,0.242112,0.484224,0.726336,True,,Adeia Inc. Common Stock,,0.0,0.0,0.0,0.0,0.0039861531908896,36.86153190889663,307.0,5.0,mom_5;parkinson_vol_20;intraday_return,mom_126;volume_z_60;volatility_10,,False,True,True,True,31.48,,FLAT,False,2421.12
2026-05-14T17:13:00.563471+00:00,ADTN,BUY,50,15.29,764.5,False,Filled,1022,,1.0,2.0,0.07645,0.1529,0.22935,True,,"ADTRAN Holdings, Inc. Common Stock",BUY,0.00078125,0.0,0.00078125,78.125,0.0050260099742053,47.26009974205368,186.0,5.0,intraday_return;parkinson_vol_20;mom_63,mom_126;overnight_return;mom_1,,False,True,True,True,15.28,"BUY because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 47.26 bps versus threshold 5.00 bps. Main contributors were intraday_return, parkinson_vol_20, mom_63. Price filter passed; liquidity filter passed.",LONG,True,764.5
2026-05-14T17:13:00.563471+00:00,ADTX,SELL,15320,0.0634,971.288,False,Filled,1025,,1.0,2.0,0.0971288,0.1942576,0.2913864,True,,"Aditxt, Inc. Common Stock",,0.0,0.0,0.0,0.0,-0.0251905448224735,-254.9054482247358,7562.0,1.0,hl_range_20;overnight_return;close_to_high_20,parkinson_vol_20;volume_z_60;mom_5,,False,False,False,True,0.0668,,FLAT,False,-971.288
2026-05-14T17:13:00.563471+00:00,ADUR,SELL,55,13.87,762.8499999999999,False,Filled,1028,,1.0,2.0,0.0762849999999999,0.1525699999999999,0.2288549999999999,True,,Aduro Clean Technologies Inc. Common Stock,SHORT,-0.00078125,0.0,-0.00078125,-78.125,-0.0050945486824239,47.945486824239154,7334.0,1.0,mom_1;volume_z_20;mom_5,intraday_return;volume_z_60;close_to_high_20,,False,True,True,True,14.27,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 47.95 bps versus threshold 5.00 bps. Main contributors were intraday_return, volume_z_60, close_to_high_20. Price filter passed; liquidity filter passed.",SHORT,True,-762.8499999999999
2026-05-14T17:13:00.563471+00:00,AEIS,SELL,2,345.63,691.26,False,Filled,1037,,1.0,2.0,0.0691259999999999,0.1382519999999999,0.2073779999999999,True,,Advanced Energy Industries Inc,,0.0,0.0,0.0,0.0,-0.0021407186307792,-24.40718630779221,7047.0,1.0,parkinson_vol_20;mom_252;volume_z_20,volume_z_60;hl_range_20;mom_126,,False,True,True,True,344.6,,FLAT,False,-691.26
2026-05-14T17:13:00.563471+00:00,AFBI,BUY,21,22.46,471.66,False,Filled,1043,,1.0,2.0,0.047166,0.094332,0.141498,True,,"Affinity Bancshares, Inc. Common Stock (MD)",,0.0,0.0,0.0,0.0,-0.0017175083822675,-20.17508382267566,6953.0,1.0,parkinson_vol_20;volume_z_60;volatility_10,hl_range_20;price_kurt_63;volatility_20,,False,True,False,True,22.46,,FLAT,False,471.66
2026-05-14T17:13:00.563471+00:00,AGH,SELL,700,4.24,2968.0,False,Filled,1049,,1.0,2.0,0.2968,0.5936,0.8904000000000001,True,,Aureus Greenway Holdings Inc. Common Stock,,0.0,0.0,0.0,0.0,0.0058574731726532,55.57473172653293,112.0,5.0,mom_252;hl_range_20;mom_21,overnight_return;parkinson_vol_20;mom_5,,False,False,True,True,4.26,,FLAT,False,-2968.0
