signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity
2024-01-02,2024-01-03,-0.007237454005714935,-0.0070874540057149354,0.00015,0.0,0.5,1.0,0.0,0.49999999999999994,-0.5,94,94,1.0,1.0,1.0,1.0,,,0.0,0.992762545994285,-0.0072374540057149606,0.992762545994285
2024-01-03,2024-01-04,0.0071604600428530375,0.007304077064129633,0.0001436170212765957,0.0,0.4787234042553191,1.0,-5.204170427930421e-18,0.5,-0.5,82,82,1.0,1.0,1.0,1.0,,,0.0,0.9998711825369181,-0.00012881746308190944,0.9998711825369181
2024-01-04,2024-01-05,-0.006953911644278063,-0.006842283737301319,0.00011162790697674418,0.0,0.37209302325581395,1.0,0.0,0.5,-0.5,86,86,1.0,1.0,1.0,1.0,0.161616184361882,0.006517558303286536,-0.006953911644278055,0.9929181666778966,-0.007081833322103437,0.9998711825369181
2024-01-05,2024-01-08,0.01840106104923168,0.018510944770161915,0.00010988372093023255,0.0,0.36627906976744184,1.0,3.469446951953614e-18,0.5,-0.5,83,83,1.0,1.0,1.0,1.0,0.13067908845876247,0.007209099769571248,0.0,1.0111889144798278,0.011188914479827838,1.0111889144798278
2024-01-08,2024-01-09,-0.003808792851637841,-0.0036863790585343927,0.00012241379310344827,0.0,0.40804597701149425,1.0,0.0,0.5,-0.5,87,87,1.0,1.0,1.0,1.0,0.1962046263359289,0.007194922651499404,-0.003808792851637821,1.0073375053707017,0.007337505370701658,1.0111889144798278
2024-01-09,2024-01-10,-0.013312451854607367,-0.013185032499768658,0.00012741935483870967,0.0,0.42473118279569894,1.0,0.0,0.5,-0.5,93,93,1.0,1.0,1.0,1.0,0.17635730296586516,0.007180745533427561,-0.017070540334783613,0.9939273733291139,-0.00607262667088615,1.0111889144798278
2024-01-10,2024-01-11,-0.0005167866134645932,-0.00041117436856663407,0.00010561224489795919,0.0,0.35204081632653067,0.9999999999999998,0.0,0.5,-0.5,98,98,1.0,1.0,1.0,1.0,0.18469423830219214,0.011793702392384258,-0.017578505121518484,0.9934137249678214,-0.006586275032178568,1.0111889144798278
2024-01-11,2024-01-12,0.005909087915524388,0.00602694505838153,0.00011785714285714284,0.0,0.39285714285714285,1.0,0.0,0.5,-0.5,89,89,1.0,1.0,1.0,1.0,0.16862283112699836,0.011489952499939636,-0.011773290138180736,0.9992838940051448,-0.0007161059948551651,1.0111889144798278
2024-01-12,2024-01-16,0.0004006023732609304,0.0005212209299619614,0.00012061855670103093,0.0,0.4020618556701031,1.0,8.673617379884035e-19,0.5,-0.5,97,97,1.0,1.0,1.0,1.0,0.1607177518835011,0.011186202607495014,-0.011377404172890127,0.9996842095046448,-0.0003157904953552393,1.0111889144798278
2024-01-16,2024-01-17,0.0049083210833073985,0.005059867475059976,0.0001515463917525773,0.0,0.5051546391752577,1.0,0.0,0.5,-0.5,83,83,1.0,1.0,1.0,1.0,0.15035616794967635,0.010882452715050391,-0.006524927042357964,1.0045909805868058,0.004590980586805848,1.0111889144798278
2024-01-17,2024-01-18,0.009380750097057291,0.009512677807900665,0.0001319277108433735,0.0,0.43975903614457834,1.0,0.0,0.5,-0.5,82,82,1.0,1.0,1.0,1.0,0.14387859746360596,0.01057870282260577,0.0,1.0140147975254483,0.01401479752544832,1.0140147975254483
2024-01-18,2024-01-19,0.005000907640058783,0.005145419835180734,0.0001445121951219512,0.0,0.4817073170731707,1.0,0.0,0.49999999999999994,-0.5,81,81,1.0,1.0,1.0,1.0,0.1429676995072992,0.010274952930161148,0.0,1.019085791873526,0.019085791873526103,1.019085791873526
2024-01-19,2024-01-22,-0.006407530555996308,-0.006305744841710594,0.00010178571428571426,0.0,0.33928571428571425,0.9999999999999999,0.0,0.49999999999999994,-0.5,84,84,1.0,1.0,1.0,1.0,0.13736374199286966,0.009971203037716526,-0.006407530555996299,1.0125559685229149,0.012555968522914851,1.019085791873526
