month,monthly_return,monthly_equity
2024-01,0.03946562217743099,1.039465622177431
2024-02,0.13065029951257978,1.1752721170479425
2024-03,0.06001242618628777,1.2458030482210845
2024-04,0.042570130293866804,1.2988370463043524
2024-05,0.08392353815180176,1.4078400467128491
2024-06,0.08027853164140009,1.5208593784489168
2024-07,0.04792002119155936,1.5937389920935707
2024-08,0.09136473704495263,1.7393505360244876
2024-09,0.10069173561661393,1.9144887603424812
2024-10,0.12523043520991295,2.154241021004657
2024-11,0.08511116878595848,2.33759099214902
2024-12,0.07915187417388303,2.5226157002296015
2025-01,0.05757381043327725,2.6678522983506294
2025-02,0.1249471939296718,3.001192956848366
2025-03,0.11412023649726288,3.3436898068578214
2025-04,0.0644130797530369,3.5590671650563706
2025-05,0.12712263957015435,4.011505177485803
2025-06,0.2048389740483445,4.833217782431617
2025-07,0.09528106818620774,5.2937319355182755
2025-08,0.05605672056395328,5.590481187368099
2025-09,0.12811657027937762,6.306714463305083
2025-10,0.18314168024024502,7.461736746910231
2025-11,0.10707722903348316,8.260718841546694
2025-12,0.1307894883086438,9.341134031894159
2026-01,0.05959015559014014,9.897773662243084
2026-02,0.09728826698414306,10.860710908844009
2026-03,0.050302237432521046,11.407028967666651
2026-04,0.029315377370458418,11.74143032652955
2026-05,0.052253491636742755,12.354961057900258
