signal_date,bucket,alpha_min,alpha_max,number_of_stocks,average_alpha,average_realized_next_day_return,average_residual,long_selected_count,short_selected_count,average_liquidity,average_volatility,long_threshold_alpha,short_threshold_alpha,filtered_out_liquidity,filtered_out_missing_data,filtered_out_alpha_threshold,final_number_long,final_number_short
2026-05-12,1,-0.037216657409298366,-0.0009717307329447618,758,-0.00471384228687899,,,5,222,36223484.3432341,,0.0033306685320373852,-0.002296931680874817,1342,4400,0,275,276
2026-05-12,2,-0.0009662630984390847,0.0,4878,-4.4773150394417846e-05,,,0,16,45870092.325802974,,0.0033306685320373852,-0.002296931680874817,1342,4400,0,275,276
2026-05-12,3,9.931689108312622e-07,0.0007089570550080475,428,0.00035927546664668765,,,7,11,140913173.50317866,,0.0033306685320373852,-0.002296931680874817,1342,4400,0,275,276
2026-05-12,4,0.0007106566937745645,0.0021512767468343176,758,0.0013773157252866327,,,34,11,135494802.60546738,,0.0033306685320373852,-0.002296931680874817,1342,4400,0,275,276
2026-05-12,5,0.0021621893185186486,0.009895157182002555,758,0.003421795068055666,,,229,16,368315225.25939137,,0.0033306685320373852,-0.002296931680874817,1342,4400,0,275,276
