submitted_at,ticker,side,quantity,limit_price,notional,dry_run,order_status,order_id,error,risk_ok,risk_reason,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost
2026-05-13T18:19:06.934977+00:00,AAL,BUY,193,12.7,2451.1,False,Filled,967,,True,,1.0,2.0,0.24511,0.49022,0.73533
2026-05-13T18:19:06.934977+00:00,AAON,BUY,21,133.69,2807.49,False,Submitted,970,,True,,1.0,2.0,0.28074899999999997,0.5614979999999999,0.842247
2026-05-13T18:19:06.934977+00:00,ABNB,BUY,151,135.51,20462.01,False,Filled,973,,True,,1.0,2.0,2.046201,4.092402,6.138603
2026-05-13T18:19:06.934977+00:00,ABSI,BUY,88,5.36,471.68,False,Submitted,976,,True,,1.0,2.0,0.047168,0.094336,0.14150400000000002
2026-05-13T18:19:06.934977+00:00,ABVE,SELL,5444,0.5377,2927.2388,False,Submitted,979,,True,,1.0,2.0,0.29272388,0.58544776,0.8781716399999999
2026-05-13T18:19:06.934977+00:00,ACIC,SELL,44,10.58,465.52,False,Submitted,982,,True,,1.0,2.0,0.046551999999999996,0.09310399999999999,0.139656
2026-05-13T18:19:06.934977+00:00,ACLS,BUY,18,161.68,2910.24,False,Submitted,985,,True,,1.0,2.0,0.291024,0.582048,0.8730720000000001
2026-05-13T18:19:06.934977+00:00,ACRS,BUY,97,4.89,474.33,False,Submitted,988,,True,,1.0,2.0,0.047432999999999996,0.09486599999999999,0.14229899999999998
2026-05-13T18:19:06.934977+00:00,ADAM,SELL,53,8.86,469.58,False,Filled,991,,True,,1.0,2.0,0.046958,0.093916,0.140874
2026-05-13T18:19:06.934977+00:00,ADAMO,SELL,97,25.27,2451.19,False,Submitted,994,,True,,1.0,2.0,0.245119,0.490238,0.735357
2026-05-13T18:19:06.934977+00:00,ADEA,SELL,78,31.17,2431.26,False,Filled,997,,True,,1.0,2.0,0.243126,0.486252,0.7293780000000001
2026-05-13T18:19:06.934977+00:00,ADTX,SELL,20921,0.085,1778.285,False,Submitted,1000,,True,,1.0,2.0,0.1778285,0.355657,0.5334855000000001
2026-05-13T18:19:06.934977+00:00,ADV,BUY,70,34.94,2445.8,False,Filled,1003,,True,,1.0,2.0,0.24458000000000002,0.48916000000000004,0.7337400000000001
2026-05-13T18:19:06.934977+00:00,AEHL,SELL,1387,2.1,2912.7000000000003,False,PreSubmitted,1006,,True,,1.0,2.0,0.29127000000000003,0.5825400000000001,0.8738100000000001
2026-05-13T18:19:06.934977+00:00,AEHR,BUY,30,96.74,2902.2,False,Submitted,1009,,True,,1.0,2.0,0.29022,0.58044,0.87066
2026-05-13T18:19:06.934977+00:00,AEI,SELL,852,1.89,1610.28,False,Submitted,1012,,True,,1.0,2.0,0.161028,0.322056,0.483084
2026-05-13T18:19:06.934977+00:00,AEVA,SELL,153,19.08,2919.24,False,Cancelled,1015,,True,,1.0,2.0,0.29192399999999996,0.5838479999999999,0.8757719999999999
2026-05-13T18:19:06.934977+00:00,AFBI,SELL,93,22.45,2087.85,False,Filled,1018,,True,,1.0,2.0,0.208785,0.41757,0.626355
2026-05-13T18:19:06.934977+00:00,AGEN,SELL,138,3.43,473.34,False,Filled,1021,,True,,1.0,2.0,0.047333999999999994,0.09466799999999999,0.142002
2026-05-13T18:19:06.934977+00:00,AGH,BUY,700,4.19,2933.0000000000005,False,Filled,1024,,True,,1.0,2.0,0.29330000000000006,0.5866000000000001,0.8799000000000001
2026-05-13T18:19:06.934977+00:00,AGPU,BUY,71,6.67,473.57,False,Filled,1027,,True,,1.0,2.0,0.047356999999999996,0.09471399999999999,0.142071
2026-05-13T18:19:06.934977+00:00,AIIO,SELL,1915,1.27,2432.05,False,PreSubmitted,1030,,True,,1.0,2.0,0.243205,0.48641,0.729615
2026-05-13T18:19:06.934977+00:00,AIOT,BUY,756,3.25,2457.0,False,Filled,1033,,True,,1.0,2.0,0.2457,0.4914,0.7371
2026-05-13T18:19:06.934977+00:00,AIRO,BUY,60,7.84,470.4,False,Filled,1036,,True,,1.0,2.0,0.04704,0.09408,0.14112
2026-05-13T18:19:06.934977+00:00,AIRS,BUY,5412,4.17,22568.04,False,Submitted,1039,,True,,1.0,2.0,2.2568040000000003,4.5136080000000005,6.770412
2026-05-13T18:19:06.934977+00:00,AISP,BUY,202,2.36,476.72,False,Submitted,1042,,True,,1.0,2.0,0.047672000000000006,0.09534400000000001,0.14301600000000003
2026-05-13T18:19:06.934977+00:00,AKAM,BUY,3,149.59,448.77,False,Submitted,1045,,True,,1.0,2.0,0.044877,0.089754,0.134631
2026-05-13T18:19:06.934977+00:00,AKAN,SELL,114,25.48,2904.7200000000003,False,Submitted,1048,,True,,1.0,2.0,0.290472,0.580944,0.871416
2026-05-13T18:19:06.934977+00:00,AKBA,SELL,2481,1.17,2902.77,False,Filled,1051,,True,,1.0,2.0,0.290277,0.580554,0.870831
2026-05-13T18:19:06.934977+00:00,AKTS,SELL,24,19.72,473.28,False,Submitted,1054,,True,,1.0,2.0,0.047327999999999995,0.09465599999999999,0.141984
2026-05-13T18:19:06.934977+00:00,ALAB,BUY,11,204.47,2249.17,False,Submitted,1057,,True,,1.0,2.0,0.224917,0.449834,0.674751
2026-05-13T18:19:06.934977+00:00,ALDX,SELL,278,1.7,472.6,False,Submitted,1060,,True,,1.0,2.0,0.04726,0.09452,0.14178000000000002
2026-05-13T18:19:06.934977+00:00,ALGM,BUY,376,45.88,17250.88,False,Submitted,1063,,True,,1.0,2.0,1.7250880000000002,3.4501760000000004,5.175264
2026-05-13T18:19:06.934977+00:00,ALGT,BUY,31,77.51,2402.81,False,Filled,1066,,True,,1.0,2.0,0.240281,0.480562,0.720843
2026-05-13T18:19:06.934977+00:00,ALHC,SELL,25,18.37,459.25,False,Submitted,1069,,True,,1.0,2.0,0.045925,0.09185,0.137775
2026-05-13T18:19:06.934977+00:00,ALKS,SELL,12,38.28,459.36,False,Filled,1072,,True,,1.0,2.0,0.045936000000000005,0.09187200000000001,0.137808
2026-05-13T18:19:06.934977+00:00,ALP,SELL,1731,0.2748,475.6788,False,Submitted,1075,,True,,1.0,2.0,0.04756788,0.09513576,0.14270364
2026-05-13T18:19:06.934977+00:00,AMBA,BUY,6,78.21,469.26,False,Submitted,1078,,True,,1.0,2.0,0.046926,0.093852,0.14077800000000001
2026-05-13T18:19:06.934977+00:00,AMD,BUY,6,448.38,2690.28,False,Submitted,1081,,True,,1.0,2.0,0.26902800000000004,0.5380560000000001,0.8070840000000001
2026-05-13T18:19:06.934977+00:00,AMKR,BUY,39,73.47,2865.33,False,Submitted,1084,,True,,1.0,2.0,0.286533,0.573066,0.859599
2026-05-13T18:19:06.934977+00:00,AMPG,SELL,911,2.68,2441.48,False,Submitted,1087,,True,,1.0,2.0,0.244148,0.488296,0.732444
2026-05-13T18:19:06.934977+00:00,AMRX,BUY,232,12.61,2925.52,False,Filled,1090,,True,,1.0,2.0,0.292552,0.585104,0.877656
2026-05-13T18:19:06.934977+00:00,AMSC,BUY,8,54.53,436.24,False,Submitted,1093,,True,,1.0,2.0,0.043624,0.087248,0.13087200000000002
