date,ticker,side,planned_quantity,filled_quantity,fill_ratio,planned_price,average_fill_price,arrival_price,close_price,slippage_bps,transaction_cost,order_status,rejected_reason
,AAL,SELL,0,0,0.0,12.69,,12.69,12.69,2.0,0.0,planned,
,AAOI,COVER,0,0,0.0,188.28,,188.28,188.28,2.0,0.0,planned,
,AAON,SELL,0,0,0.0,133.66,,133.66,133.66,2.0,0.0,planned,
,ABSI,BUY,0,0,0.0,5.355,,5.355,5.355,2.0,0.0,planned,
,ABVE,COVER,0,0,0.0,0.5378,,0.5378,0.5378,2.0,0.0,planned,
,ACIC,SHORT,0,0,0.0,10.59,,10.59,10.59,2.0,0.0,planned,
,ACLS,SELL,0,0,0.0,161.64,,161.64,161.64,2.0,0.0,planned,
,ACRS,BUY,0,0,0.0,4.88,,4.88,4.88,2.0,0.0,planned,
,ADAM,SHORT,0,0,0.0,8.87,,8.87,8.87,2.0,0.0,planned,
,ADAMO,COVER,0,0,0.0,25.2788,,25.2788,25.2788,2.0,0.0,planned,
,ADEA,COVER,0,0,0.0,31.18,,31.18,31.18,2.0,0.0,planned,
,ADTX,SHORT,0,0,0.0,0.085,,0.085,0.085,2.0,0.0,planned,
,ADV,SELL,0,0,0.0,34.93,,34.93,34.93,2.0,0.0,planned,
,AEHL,COVER,0,0,0.0,2.11,,2.11,2.11,2.0,0.0,planned,
,AEHR,SELL,0,0,0.0,96.72,,96.72,96.72,2.0,0.0,planned,
,AEVA,COVER,0,0,0.0,19.09,,19.09,19.09,2.0,0.0,planned,
,AFBI,SHORT,0,0,0.0,22.46,,22.46,22.46,2.0,0.0,planned,
,AGEN,SHORT,0,0,0.0,3.44,,3.44,3.44,2.0,0.0,planned,
,AGH,SELL,0,0,0.0,4.18,,4.18,4.18,2.0,0.0,planned,
,AGPU,BUY,0,0,0.0,6.66,,6.66,6.66,2.0,0.0,planned,
,AIIO,COVER,0,0,0.0,1.28,,1.28,1.28,2.0,0.0,planned,
,AIOT,SELL,0,0,0.0,3.24,,3.24,3.24,2.0,0.0,planned,
,AIRO,BUY,0,0,0.0,7.83,,7.83,7.83,2.0,0.0,planned,
,AISP,BUY,0,0,0.0,2.35,,2.35,2.35,2.0,0.0,planned,
,AKAM,BUY,0,0,0.0,149.56,,149.56,149.56,2.0,0.0,planned,
,AKAN,COVER,0,0,0.0,25.49,,25.49,25.49,2.0,0.0,planned,
,AKBA,COVER,0,0,0.0,1.18,,1.18,1.18,2.0,0.0,planned,
,AKTS,SHORT,0,0,0.0,19.73,,19.73,19.73,2.0,0.0,planned,
,ALAB,SELL,0,0,0.0,204.42,,204.42,204.42,2.0,0.0,planned,
,ALDX,SHORT,0,0,0.0,1.71,,1.71,1.71,2.0,0.0,planned,
,ALGT,SELL,0,0,0.0,77.49,,77.49,77.49,2.0,0.0,planned,
,ALHC,SHORT,0,0,0.0,18.38,,18.38,18.38,2.0,0.0,planned,
,ALKS,SHORT,0,0,0.0,38.29,,38.29,38.29,2.0,0.0,planned,
,ALP,SHORT,0,0,0.0,0.2749,,0.2749,0.2749,2.0,0.0,planned,
