ticker,date,residual,residual_zscore,side_implication,excluded_from_trading,reason
AAOI,2026-04-01,0.17304738935415226,3.3129058038859167,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
AERT,2026-04-01,0.2220168042119357,4.2846769995815475,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
AGPU,2026-04-01,0.20504464790038895,3.947873860718159,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
AIIO,2026-04-01,-0.17826897959414295,-3.6587749668935716,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ARAI,2026-04-01,-0.17064127915562638,-3.5074074327485896,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ATPC,2026-04-01,0.2725442140219542,5.287365751102957,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
BFRG,2026-04-01,-0.18521918563028406,-3.7966979959860527,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
BRAI,2026-04-01,0.20964647613855292,4.039194619652564,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
CDT,2026-04-01,-0.21946956591196246,-4.476378018629133,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
COCP,2026-04-01,0.4748635353823439,9.302281783930836,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
CSHR,2026-04-01,-0.2491379980726636,-5.065131792366268,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
DLXY,2026-04-01,0.2044205176420058,3.9354883378520955,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
EEIQ,2026-04-01,-0.25118856858641,-5.1058242402092455,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ELAB,2026-04-01,-0.49115278865493184,-9.86778265317755,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
FGI,2026-04-01,-0.18370273479672047,-3.766604860423264,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
GNLN,2026-04-01,0.1736874182205901,3.3256068259141425,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
GVH,2026-04-01,0.34456445680336123,6.716567991832885,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
HAIN,2026-04-01,0.1582130855539706,3.0185271762653847,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
HKIT,2026-04-01,-0.20333445934024194,-4.156185673031092,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
HURA,2026-04-01,-0.1622429549781561,-3.3407472929147435,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ICU,2026-04-01,0.2127265972847711,4.100317935457758,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
INLF,2026-04-01,0.19371423876428864,3.7230281020770626,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
INO,2026-04-01,-0.3430804780108632,-6.929368812989904,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
IOTR,2026-04-01,0.1659038924203989,3.1711470228810383,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
JSPR,2026-04-01,-0.14785485705232462,-3.0552233762868375,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
KELYB,2026-04-01,0.2307067395016631,4.4571240020940515,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
KMRK,2026-04-01,0.16034451873020739,3.060824299321323,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
LEXX,2026-04-01,0.19872193637055527,3.8224031161477154,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
LNKS,2026-04-01,-0.30375283765018,-6.148933347134743,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
LNZA,2026-04-01,0.2409875603836837,4.661141257155572,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
LPCN,2026-04-01,-0.7576158605309348,-15.155596255151126,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
LUNR,2026-04-01,0.17423071578581373,3.3363882682921897,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
MGRT,2026-04-01,0.26342747686549495,5.106449099492875,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
MOBX,2026-04-01,0.2803273319473751,5.441817460084817,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
NPT,2026-04-01,0.16175711288171238,3.0888564559567926,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
NTCL,2026-04-01,0.3230693201752298,6.2900087878190325,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
NVNI,2026-04-01,0.2866251818578084,5.566794839445939,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
OLOX,2026-04-01,-0.2109127625643163,-4.30657294653212,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ONCO,2026-04-01,-0.1604929907203987,-3.306020211447172,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
OXBR,2026-04-01,-0.2133236822829272,-4.354416326823365,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
PFSA,2026-04-01,0.3114026468511193,6.058490050687151,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
PMAX,2026-04-01,0.23973511816415474,4.636287227824284,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RCON,2026-04-01,0.20892055786600555,4.0247891694396225,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RENX,2026-04-01,-0.2420889709663722,-4.92524771330456,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RLAY,2026-04-01,0.16034850932265338,3.0609034904410057,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
RMSG,2026-04-01,-0.20206366327112718,-4.130967421615276,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SBAC,2026-04-01,0.19111451038792895,3.6714379174666094,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SELX,2026-04-01,0.5090431581069368,9.98055766163869,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SGML,2026-04-01,0.2076157619250112,3.9988962092030893,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SIDU,2026-04-01,0.4414316248251761,8.638843844333636,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SKK,2026-04-01,0.20685239027163088,3.983747517177262,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SLSN,2026-04-01,0.30102537894448,5.852558857288669,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SNBR,2026-04-01,-0.32223834643611865,-6.515768136321497,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
SWMR,2026-04-01,0.42106572671378156,8.234693759702196,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
TBH,2026-04-01,0.19488166748197486,3.7461950850636896,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
UPC,2026-04-01,0.16640444288077905,3.181080172394919,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
VELO,2026-04-01,0.22207011371581528,4.2857348974648986,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
VSAT,2026-04-01,0.17099170685168233,3.2721119114288117,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
XHLD,2026-04-01,0.19376719471191234,3.7240789838303145,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ABVC,2026-04-02,0.27102421156730433,5.007842631567182,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
ADTX,2026-04-02,-0.2289453867787918,-4.421519427627711,negative_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
AEHR,2026-04-02,0.18123036659967057,3.314342311371872,positive_outlier,False,Reported only; outlier policy does not trade residual outliers automatically.
