date,ticker,side,planned_quantity,filled_quantity,fill_ratio,planned_price,average_fill_price,arrival_price,close_price,slippage_bps,transaction_cost,order_status,rejected_reason
,CENX,BUY,0,0,0.0,61.44,,61.44,61.44,2.0,0.0078125,planned,
,CEVA,SELL,0,0,0.0,37.99,,37.99,37.99,2.0,6.975446428571404e-05,planned,
,CGNT,SHORT,0,0,0.0,9.66,,9.66,9.66,2.0,0.0078125,planned,
,CGON,SELL,0,0,0.0,69.535,,69.535,69.535,2.0,6.975446428571404e-05,planned,
,CHMG,SHORT,0,0,0.0,66.8,,66.8,66.8,2.0,0.0078125,planned,
,CHRN,COVER,0,0,0.0,17.92,,17.92,17.92,2.0,0.007882254464285712,planned,
,CHTR,SHORT,0,0,0.0,148.0,,148.0,148.0,2.0,0.0078125,planned,
,CIGI,COVER,0,0,0.0,93.72,,93.72,93.72,2.0,0.007882254464285712,planned,
,CLBT,SHORT,0,0,0.0,13.12,,13.12,13.12,2.0,0.0078125,planned,
,CLFD,SELL,0,0,0.0,44.57,,44.57,44.57,2.0,0.007882254464285712,planned,
,CLNN,COVER,0,0,0.0,7.05,,7.05,7.05,2.0,6.975446428571404e-05,planned,
,COAG,COVER,0,0,0.0,28.37,,28.37,28.37,2.0,0.007882254464285712,planned,
,COCO,SELL,0,0,0.0,76.44,,76.44,76.44,2.0,6.975446428571404e-05,planned,
,COLB,SHORT,0,0,0.0,29.12,,29.12,29.12,2.0,0.0078125,planned,
,COYA,SHORT,0,0,0.0,5.26,,5.26,5.26,2.0,0.0078125,planned,
,CRAN,SHORT,0,0,0.0,10.03,,10.03,10.03,2.0,0.0078125,planned,
,CRDO,SELL,0,0,0.0,184.54,,184.54,184.54,2.0,6.975446428571404e-05,planned,
,CRML,SELL,0,0,0.0,11.6,,11.6,11.6,2.0,6.975446428571404e-05,planned,
,CRNC,COVER,0,0,0.0,10.42,,10.42,10.42,2.0,0.007882254464285712,planned,
,CRWD,SELL,0,0,0.0,579.95,,579.95,579.95,2.0,0.007882254464285712,planned,
,CSTL,COVER,0,0,0.0,18.88,,18.88,18.88,2.0,6.975446428571404e-05,planned,
,CUB,SHORT,0,0,0.0,10.81,,10.81,10.81,2.0,0.0078125,planned,
,CUE,COVER,0,0,0.0,25.33,,25.33,25.33,2.0,6.975446428571404e-05,planned,
,CVGI,SELL,0,0,0.0,5.52,,5.52,5.52,2.0,0.007882254464285712,planned,
,CVRX,COVER,0,0,0.0,5.74,,5.74,5.74,2.0,6.975446428571404e-05,planned,
,DAVE,BUY,0,0,0.0,234.49,,234.49,234.49,2.0,0.0078125,planned,
,DCBO,SHORT,0,0,0.0,16.36,,16.36,16.36,2.0,0.0078125,planned,
,DDOG,SELL,0,0,0.0,202.84,,202.84,202.84,2.0,0.007882254464285712,planned,
,DERM,COVER,0,0,0.0,6.35,,6.35,6.35,2.0,0.007882254464285712,planned,
,DGXX,SELL,0,0,0.0,7.22,,7.22,7.22,2.0,6.975446428571404e-05,planned,
,DJCO,SELL,0,0,0.0,474.01,,474.01,474.01,2.0,0.007882254464285712,planned,
,DJT,COVER,0,0,0.0,8.95,,8.95,8.95,2.0,0.007882254464285712,planned,
