date,factor,latest_estimated_f_t,rolling_mean_f,kalman_forecast_f_hat,previous_day_f_hat,day_over_day_change,zscore_factor_return,kalman_f_hat,kalman_gain,state_covariance_diag,process_noise_q,measurement_noise_r,kalman_weight,rolling_weight,final_f_hat
2026-05-14,mom_1,0.004659509098058666,-0.0024515447849125433,,0.0006156044957485966,0.00028183253128482677,0.8283139093330637,,,,,,0.0,1.0,0.0008974370270334234
2026-05-14,mom_5,0.0028272595808316115,0.00023266647798869918,,0.0013287556733812714,0.00013018762486702046,0.9293142167176991,,,,,,0.0,1.0,0.0014589432982482918
2026-05-14,mom_10,-0.006600372064709871,3.228715509336577e-05,,-0.0005186141156804803,-0.0003419511262827313,-2.4926862338995113,,,,,,0.0,1.0,-0.0008605652419632116
2026-05-14,mom_21,-0.00265259631756012,0.0008398431111330014,,0.0012689906433311841,-0.0003359751658263964,-1.120806301789425,,,,,,0.0,1.0,0.0009330154775047877
2026-05-14,mom_63,0.0019783038173963726,0.000302835439831947,,0.000545757192255794,0.000174519789969371,0.5881903132626297,,,,,,0.0,1.0,0.000720276982225165
2026-05-14,mom_126,-0.004742664424597293,0.0003746909017615321,,-0.00043697010277599606,-0.0004433254368731609,-1.9831154721596336,,,,,,0.0,1.0,-0.000880295539649157
2026-05-14,mom_252,0.008268411398390936,0.0004011878897381827,,0.0002360058390723288,0.0005635832056384574,2.2629657979050446,,,,,,0.0,1.0,0.0007995890447107863
2026-05-14,volatility_10,-0.0027748517671050276,-0.0012850086723237663,,-0.0006983639405058635,6.990321834467292e-06,-0.539785854434049,,,,,,0.0,1.0,-0.0006913736186713962
2026-05-14,volatility_20,0.0008472708836493092,-0.00019804220615000307,,0.0011194397182528134,-0.00013538219856119318,0.2728466870602644,,,,,,0.0,1.0,0.0009840575196916202
2026-05-14,volatility_63,0.00545565128028575,-0.0008182058993129146,,-0.0008301310207694336,0.00029623424117368967,1.7152308467160664,,,,,,0.0,1.0,-0.0005338967795957439
2026-05-14,volatility_126,-0.0025638370138469416,-0.00044989064992459764,,1.0573523909487725e-05,-0.00011149178766083198,-0.6739769231649633,,,,,,0.0,1.0,-0.00010091826375134425
2026-05-14,parkinson_vol_20,-0.014071365403487862,-0.003503038186212751,,-0.00465565049899466,-0.000805159543309274,-1.6006519310823946,,,,,,0.0,1.0,-0.005460810042303934
2026-05-14,intraday_return,-0.008314443856275652,0.0011765202572269309,,-0.002407235414445116,-0.00045836513298173117,-1.1724704894742861,,,,,,0.0,1.0,-0.002865600547426847
2026-05-14,overnight_return,-0.0016168853652064965,0.0007799169749461158,,-0.0007295558156429591,-6.412455001201113e-05,-0.4975656571618466,,,,,,0.0,1.0,-0.0007936803656549702
2026-05-14,hl_range_20,0.013938073538760512,0.0025822329428265563,,0.0013842354733090724,0.000715386280567802,1.4316173251693014,,,,,,0.0,1.0,0.0020996217538768744
2026-05-14,close_to_high_20,0.0032096720230410723,-0.0008577913801692354,,-0.0009363709664104492,0.00021651868032881278,1.179350821641728,,,,,,0.0,1.0,-0.0007198522860816365
2026-05-14,close_to_low_20,0.0012283560348749555,-0.00038200005550723907,,0.0007377736359148811,0.00010202367149144244,0.4688751538028438,,,,,,0.0,1.0,0.0008397973074063236
2026-05-14,dist_52w_high,0.0009815466293400473,-3.594456879930921e-05,,0.00041960301753025215,7.074288765760632e-05,0.2992495605705759,,,,,,0.0,1.0,0.0004903459051878585
2026-05-14,dist_52w_low,-0.006706045915417726,-0.00015531824687261837,,0.0004928790985581919,-0.0003765087338624399,-1.9588229512151163,,,,,,0.0,1.0,0.00011637036469575195
2026-05-14,log_dollar_vol_20,-2.1743893456382835e-06,-3.664111976225546e-05,,0.0002074379476868123,-4.0358442630389476e-05,0.006329195868696702,,,,,,0.0,1.0,0.00016707950505642284
2026-05-14,volume_z_20,0.0029661822626373714,-5.0924190659746016e-05,,0.00026093938716965925,0.00022258240139681192,1.4869269209428093,,,,,,0.0,1.0,0.0004835217885664712
2026-05-14,log_dollar_vol_60,-0.0008265364677856516,3.2846619806261994e-06,,0.00011295155412074286,-0.00010623327804286965,-0.16953922326808535,,,,,,0.0,1.0,6.718276077873212e-06
2026-05-14,volume_z_60,-0.0050687441088147845,-0.0007467830984838536,,-0.0013141048787418484,-0.00030694244063625593,-1.850587763305963,,,,,,0.0,1.0,-0.0016210473193781043
2026-05-14,volume_mom_20_60,0.0010450859309076176,-5.1929441618993385e-05,,-0.00020003200963735493,5.1647175322109764e-05,0.4796019662535647,,,,,,0.0,1.0,-0.00014838483431524517
2026-05-14,amihud_20,0.0006612693675088085,0.0004030457188011598,,0.0006545655710488398,-4.9560866893558274e-05,0.11899813191997487,,,,,,0.0,1.0,0.0006050047041552815
2026-05-14,price_skew_63,-0.0005150051606036352,-0.00023986004400406577,,-0.00019538299875410217,5.465200833310862e-05,-0.20105438011727123,,,,,,0.0,1.0,-0.00014073099042099355
2026-05-14,price_kurt_63,-0.00011918594368132365,-9.032188896964692e-05,,-0.00045965118217071904,6.08290065406802e-05,-0.0163565126326995,,,,,,0.0,1.0,-0.00039882217563003884
2026-05-14,earnings_yield,0.0009154610495422783,-7.270240441795286e-05,,0.00038569405211079806,8.903649298848084e-05,0.8229731189777951,,,,,,0.0,1.0,0.0004747305450992789
2026-05-14,book_to_market,-0.00040189772575124634,-0.00017744260511141623,,-0.00042649463712372604,7.481224513551893e-06,-0.1651689297128102,,,,,,0.0,1.0,-0.00041901341261017414
2026-05-14,sales_to_price,0.00019175096288487326,0.0002350373985033794,,0.00041260803078898515,-2.8340308232352148e-05,-0.02540778902616137,,,,,,0.0,1.0,0.000384267722556633
2026-05-14,cashflow_to_price,0.0012214297299255419,-9.411883396630801e-06,,-8.315148721350319e-05,0.0001313244980027277,0.9748855869554419,,,,,,0.0,1.0,4.817301078922451e-05
2026-05-14,roe,-0.0007390542186282374,-5.491425420469054e-05,,-0.0001855045560710278,2.585802410250647e-05,-0.4365453633893477,,,,,,0.0,1.0,-0.00015964653196852134
2026-05-14,roa,-0.002848995355191536,0.00036185474452116233,,0.0007318521485244272,-0.00034361150461438995,-1.392026184190576,,,,,,0.0,1.0,0.00038824064391003725
2026-05-14,gross_margin,0.0002895192844569771,-0.00012178147732672183,,-0.0006306193497372801,5.430515844675294e-05,0.19025656007236477,,,,,,0.0,1.0,-0.0005763141912905271
2026-05-14,operating_margin,0.0026373029916579795,-0.0002531049251254782,,0.000895652360930528,8.627377819842984e-05,0.8932868556156206,,,,,,0.0,1.0,0.0009819261391289579
2026-05-14,net_margin,-0.0009314152690982062,-0.00014451123269720992,,-0.0004858072452588245,-8.550149285741718e-06,-0.275701128084506,,,,,,0.0,1.0,-0.0004943573945445662
2026-05-14,debt_to_equity,5.687418511744958e-05,-0.00014963765249353147,,-0.0003649111969155614,4.447622563091299e-05,0.13469641220366457,,,,,,0.0,1.0,-0.0003204349712846484
2026-05-14,current_ratio,-0.003565769060220516,0.0004031753484284242,,0.00047537095687350943,-0.00032569030802061244,-2.085603154276851,,,,,,0.0,1.0,0.000149680648852897
2026-05-14,cash_to_assets,-0.002280102289195173,0.0005062269329578766,,0.0004224550229094677,-0.00019084672725051843,-0.9934642863309736,,,,,,0.0,1.0,0.00023160829565894926
2026-05-14,asset_turnover,-0.001316137957483633,-0.00015828547722105502,,0.00016864182338374327,-0.0001232575652078679,-0.6916743082239889,,,,,,0.0,1.0,4.5384258175875363e-05
2026-05-14,revenue_growth_yoy,0.0012353441083808995,0.00015678285875193572,,0.00015715143003322232,7.596500464502657e-05,0.7695471189786232,,,,,,0.0,1.0,0.0002331164346782489
2026-05-14,net_income_growth_yoy,0.0007590590960769953,0.0001060562949300259,,-1.5456684911622858e-06,6.50502069932439e-05,0.7511641162176291,,,,,,0.0,1.0,6.350453850208161e-05
