submitted_at,ticker,side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason
2026-05-14T17:13:00.563471+00:00,ANAB,BUY,64,61.75,3952.0,False,Submitted,1100,,1.0,2.0,0.3952,0.7904,1.1856,True,
2026-05-14T17:13:00.563471+00:00,ANNA,BUY,802,3.74,2999.48,False,Submitted,1103,,1.0,2.0,0.299948,0.599896,0.899844,True,
2026-05-14T17:13:00.563471+00:00,APLD,BUY,100,47.4,4740.0,False,Filled,1106,,1.0,2.0,0.474,0.948,1.422,True,
2026-05-14T17:13:00.563471+00:00,APLS,BUY,71,41.04,2913.84,False,Submitted,1109,,1.0,2.0,0.29138400000000003,0.5827680000000001,0.874152,True,
2026-05-14T17:13:00.563471+00:00,APPF,SELL,15,149.63,2244.45,False,Filled,1112,,1.0,2.0,0.22444499999999998,0.44888999999999996,0.6733349999999999,True,
2026-05-14T17:13:00.563471+00:00,ARAI,BUY,3553,0.7527,2674.3431,False,Filled,1115,,1.0,2.0,0.26743431,0.53486862,0.80230293,True,
2026-05-14T17:13:00.563471+00:00,ARCB,SELL,21,116.1,2438.1,False,Filled,1118,,1.0,2.0,0.24381,0.48762,0.73143,True,
2026-05-14T17:13:00.563471+00:00,ARHS,SELL,415,5.89,2444.35,False,Filled,1121,,1.0,2.0,0.24443499999999999,0.48886999999999997,0.733305,True,
2026-05-14T17:13:00.563471+00:00,ARTV,SELL,70,10.95,766.5,False,Filled,1124,,1.0,2.0,0.07665,0.1533,0.22995,True,
2026-05-14T17:13:00.563471+00:00,ARWR,SELL,6,79.33,475.98,False,Filled,1127,,1.0,2.0,0.047598,0.095196,0.142794,True,
2026-05-14T17:13:00.563471+00:00,ASBP,BUY,474,5.17,2450.58,False,Submitted,1130,,1.0,2.0,0.245058,0.490116,0.735174,True,
2026-05-14T17:13:00.563471+00:00,ASO,SELL,47,50.78,2386.66,False,Filled,1133,,1.0,2.0,0.238666,0.477332,0.7159979999999999,True,
2026-05-14T17:13:00.563471+00:00,ASPI,BUY,125,6.18,772.5,False,Filled,1136,,1.0,2.0,0.07725,0.1545,0.23175,True,
2026-05-14T17:13:00.563471+00:00,ASRT,SELL,75,23.31,1748.25,False,Filled,1139,,1.0,2.0,0.174825,0.34965,0.524475,True,
2026-05-14T17:13:00.563471+00:00,ASST,BUY,143,17.91,2561.13,False,Filled,1142,,1.0,2.0,0.25611300000000004,0.5122260000000001,0.7683390000000001,True,
2026-05-14T17:13:00.563471+00:00,ASTI,BUY,629,5.15,3239.3500000000004,False,Filled,1145,,1.0,2.0,0.32393500000000003,0.6478700000000001,0.971805,True,
2026-05-14T17:13:00.563471+00:00,ASYS,BUY,39,22.33,870.8699999999999,False,Filled,1148,,1.0,2.0,0.08708699999999998,0.17417399999999997,0.26126099999999997,True,
2026-05-14T17:13:00.563471+00:00,ATEX,BUY,18,55.64,1001.52,False,Submitted,1151,,1.0,2.0,0.100152,0.200304,0.300456,True,
2026-05-14T17:13:00.563471+00:00,ATII,BUY,227,10.86,2465.22,False,Filled,1154,,1.0,2.0,0.246522,0.493044,0.739566,True,
2026-05-14T17:13:00.563471+00:00,ATOM,SELL,409,9.72,3975.4800000000005,False,Filled,1157,,1.0,2.0,0.39754800000000007,0.7950960000000001,1.1926440000000003,True,
2026-05-14T17:13:00.563471+00:00,AUUD,BUY,363,1.26,457.38,False,Filled,1160,,1.0,2.0,0.045738,0.091476,0.137214,True,
2026-05-14T17:13:00.563471+00:00,AVAH,SELL,646,7.36,4754.56,False,Filled,1163,,1.0,2.0,0.47545600000000005,0.9509120000000001,1.426368,True,
