ticker,factor,exposure_x,f_pred,contribution,abs_contribution
AIRS,mom_1,3.7413868549502793,-0.005085052940077675,-0.019025150226732884,0.019025150226732884
AIRS,intraday_return,4.334028932544602,0.0037360590374408056,0.01619218796196319,0.01619218796196319
AIRS,hl_range_20,2.49088346333108,0.006177222841425983,0.015386742225019007,0.015386742225019007
AIRS,close_to_low_20,2.0166033272101207,-0.0032225321331970126,-0.0064985690218466235,0.0064985690218466235
AIRS,log_dollar_vol_20,0.4012986199121916,-0.010274146601121012,-0.004123000851805396,0.004123000851805396
AIRS,parkinson_vol_20,1.705448047432764,-0.0021859595790595606,-0.0037280404958740746,0.0037280404958740746
AIRS,volatility_10,3.016070731009759,-0.0011484015577332318,-0.0034636603257252145,0.0034636603257252145
AIRS,volatility_63,1.1498241689289008,-0.002905352314281089,-0.0033406443102139117,0.0033406443102139117
ALGM,log_dollar_vol_20,1.2820979679375422,-0.010274146601121012,-0.013172462479589656,0.013172462479589656
ALGM,log_dollar_vol_60,0.954386961312858,0.00966190435657122,0.00922119553936347,0.00922119553936347
ALGM,mom_1,0.7745215801423173,-0.005085052940077675,-0.003938483238256297,0.003938483238256297
ALGM,intraday_return,0.9410842929311782,0.0037360590374408056,0.003515946477599119,0.003515946477599119
ALGM,volume_mom_20_60,-0.8637378249809968,0.002684682119338205,-0.002318861494522554,0.002318861494522554
ALGM,mom_21,-0.8627616244364061,0.002548446193931107,-0.0021987015780647783,0.0021987015780647783
ALGM,mom_63,-0.9205575487109725,0.0013478565320215222,-0.0012407795051318049,0.0012407795051318049
ALGM,hl_range_20,0.17783786180395744,0.006177222841425983,0.0010985441020057633,0.0010985441020057633
BWEN,hl_range_20,4.929105299944306,0.006177222841425983,0.030448181846609836,0.030448181846609836
BWEN,mom_1,4.14136939262187,-0.005085052940077675,-0.021059082605899535,0.021059082605899535
BWEN,close_to_low_20,5.051064104340568,-0.0032225321331970126,-0.01627721638307547,0.01627721638307547
BWEN,intraday_return,4.334028932544602,0.0037360590374408056,0.01619218796196319,0.01619218796196319
BWEN,parkinson_vol_20,6.53031942487463,-0.0021859595790595606,-0.014275014301123419,0.014275014301123419
BWEN,mom_21,3.8890769836646606,0.002548446193931107,0.009911103436925275,0.009911103436925275
BWEN,log_dollar_vol_20,0.8099173759717562,-0.010274146601121012,-0.008321209855529067,0.008321209855529067
BWEN,volatility_63,2.0557866647971346,-0.002905352314281089,-0.005972784544236556,0.005972784544236556
CDW,log_dollar_vol_20,1.6044012805957835,-0.010274146601121012,-0.016483853963867368,0.016483853963867368
CDW,log_dollar_vol_60,1.2913966311901508,0.00966190435657122,0.012477350736957514,0.012477350736957514
CDW,volume_mom_20_60,-1.1162116121879766,0.002684682119338205,-0.0029966733566387316,0.0029966733566387316
CDW,hl_range_20,-0.38369192557222526,0.006177222841425983,-0.0023701505267154682,0.0023701505267154682
CDW,close_to_low_20,-0.44284677090574315,-0.0032225321331970126,0.0014270879493262932,0.0014270879493262932
CDW,mom_1,0.24004426887166155,-0.005085052940077675,-0.0012206378151746386,0.0012206378151746386
CDW,intraday_return,0.31796927618708926,0.0037360590374408056,0.0011879519879272864,0.0011879519879272864
CDW,mom_21,-0.4049949937346238,0.002548446193931107,-0.0010321079503441545,0.0010321079503441545
FIGR,mom_1,-3.772059106185695,-0.005085052940077675,0.019181120248056335,0.019181120248056335
FIGR,log_dollar_vol_20,1.7271878751824445,-0.010274146601121012,-0.017745381437303136,0.017745381437303136
FIGR,intraday_return,-4.217103556212181,0.0037360590374408056,-0.01575534785301028,0.01575534785301028
FIGR,hl_range_20,1.8821691843900457,0.006177222841425983,0.011626578477242303,0.011626578477242303
FIGR,log_dollar_vol_60,1.1084991464014586,0.00966190435657122,0.010710212731871732,0.010710212731871732
FIGR,volume_mom_20_60,1.5294558065957986,0.002684682119338205,0.004106102656285733,0.004106102656285733
FIGR,mom_5,-3.062654469662948,-0.0011376876621163195,0.0034843442034609355,0.0034843442034609355
FIGR,parkinson_vol_20,0.9520923317523816,-0.0021859595790595606,-0.0020812353527432715,0.0020812353527432715
FLNC,log_dollar_vol_20,1.7790228769215055,-0.010274146601121012,-0.01827794184423961,0.01827794184423961
FLNC,hl_range_20,2.015009606960787,0.006177222841425983,0.012447163369810966,0.012447163369810966
FLNC,log_dollar_vol_60,1.1652905241861964,0.00966190435657122,0.011258925592305772,0.011258925592305772
FLNC,mom_21,-2.494557238302507,0.002548446193931107,-0.006357244899495317,0.006357244899495317
FLNC,volume_mom_20_60,1.6534563448111617,0.002684682119338205,0.004439004684020831,0.004439004684020831
FLNC,mom_63,-2.991538244794872,0.0013478565320215222,-0.004032164364038968,0.004032164364038968
FLNC,mom_5,2.491321114933655,-0.0011376876621163195,-0.0028343452948298925,0.0028343452948298925
FLNC,parkinson_vol_20,1.1732252550211921,-0.0021859595790595606,-0.002564622984608171,0.002564622984608171
MNST,log_dollar_vol_20,1.7775660262829154,-0.010274146601121012,-0.018262973947202797,0.018262973947202797
MNST,hl_range_20,-0.7612055517842483,0.006177222841425983,-0.0047021363215019275,0.0047021363215019275
MNST,close_to_low_20,-0.6625151316896964,-0.0032225321331970126,0.0021349763005992974,0.0021349763005992974
MNST,parkinson_vol_20,-0.47292825165311786,-0.0021859595790595606,0.0010338020419090235,0.0010338020419090235
MNST,volatility_10,-0.8009418290793271,-0.0011484015577332318,0.0009198028441684032,0.0009198028441684032
MNST,mom_5,-0.7531429836963767,-0.0011376876621163195,0.0008568414803608401,0.0008568414803608401
MNST,close_to_high_20,0.6593738630861505,-0.001129524163953435,-0.0007447787114351309,0.0007447787114351309
