ticker,alpha,z_alpha,dollar_volume,passes_signal
AKAM,-0.008386236440272542,-1.1804689598346667,4882360.071792,False
ENTG,-0.008369150345283113,-1.1768315033973664,3811632.8325605,False
SUIG,-0.00835719956977617,-1.174287304425901,21004.8,False
TRMD,-0.008355084089447504,-1.1738369401065964,335774.8666446,False
FER,-0.008310420284883869,-1.1643284688306943,235284.05976319997,False
BMRN,-0.008295840456212176,-1.1612245710887354,1361793.94277586,False
OXBR,-0.008283365220473326,-1.1585687198498658,11207.168,False
ERNA,-0.008265851352731203,-1.1548401949294538,1701783.6771689202,False
BZAI,-0.008242343804317109,-1.149835676146379,26259.6777707,False
IRWD,-0.008241305165171374,-1.1496145603999768,63138.05,False
WBD,-0.008237273449315298,-1.1487562489599947,1134756.074595925,False
CHRS,-0.00822273681890523,-1.1456615476900747,20502.0,False
TTMI,-0.008194463495776332,-1.1396424437764707,1168380.6488631,False
PTEN,-0.008163831440487091,-1.1331211896942168,414805.485,False
MERC,-0.008157037939082467,-1.1316749221046156,2444.99,False
ALKS,-0.008144729195882609,-1.1290545154397165,440919.55341279996,False
RDNT,-0.008124078011991024,-1.1246580877111576,3547243.0349999997,False
AOSL,-0.008116885916955023,-1.1231269635776113,287540.11,False
PRZO,-0.008064091962466978,-1.1118876657906158,212.95999999999998,False
MRVI,-0.00804653956610285,-1.1081509385171082,111424.59568740502,False
HAIN,-0.00800823696301329,-1.0999967025574182,3848.1372,False
LASR,-0.007993424169780263,-1.0968432090216975,778087.9983313801,False
ARDX,-0.007967624839561167,-1.0913507931220112,74437.04276583,False
ULTA,-0.007927715771576891,-1.0828545570694856,3323997.322313995,False
SGMT,-0.007922656088770913,-1.0817774018854198,43521.445,False
COKE,-0.007921206071514413,-1.0814687079089953,662716.71165598,False
CRVS,-0.007876593712749676,-1.0719711889222205,128707.52394045,False
METC,-0.00783754400670885,-1.063657902316898,2002833.6944022,False
PGEN,-0.00783048586256224,-1.0621552949699666,29303.79454595,False
