timestamp,api_latency,compute_latency,total_latency
2026-05-12T15:41:30.570805,2.0364869160002854,1.462140690000524,3.5278245830013475
2026-05-12T15:42:41.408444,4.587025502001779,3.041006262999872,8.672921024997777
2026-05-12T15:43:30.216887,4.5832109350012615,3.5424513469988597,9.170594499999424
2026-05-12T15:46:04.587938,4.745534530000441,3.1050315569991653,18.57094518699887
2026-05-12T15:47:39.058353,5.172170756999549,3.0747081779991277,18.702627693000977
2026-05-12T15:48:58.446223,4.6824348140035,2.939719055997557,18.07651595900097
2026-05-12T15:51:42.411403,4.691128349997598,14.149488774997735,29.28730005199759
2026-05-12T15:53:01.609803,5.192097391998686,10.296320847999596,25.97065173199735
2026-05-12T15:55:04.644418,5.0186424020030245,10.08817638900291,20.96677240899953
2026-05-12T15:57:06.978854,4.6695624089989,10.38942745500026,16.021556465002504
2026-05-12T16:17:44.355141,4.578477967999788,10.087546555001609,14.704638072998932
2026-05-12T16:18:45.919982,5.154769450997264,10.06410746000256,15.256874716000311
2026-05-12T16:46:18.826745,1.9671198729993193,0.24871275199984666,2.2416911979998986
2026-05-12T16:49:55.306320,40.64736319200165,13.11377685700063,56.73781565899844
2026-05-12T17:01:24.686746,3111.6718690099988,17.212713623001036,3132.0480078990004
2026-05-12T18:14:04.884126,2.9968185939978866,20.282116739999765,42.7664805639979
2026-05-12T18:20:09.728138,3.2039515239994216,20.15675261599972,36.85273152299851
2026-05-12T18:26:09.786429,3.0199291669996455,19.85831270199924,35.03783728199778
2026-05-12T18:32:04.951937,2.963907934001327,20.122099434996926,34.52309925100053
2026-05-12T18:38:00.526535,3.017660554000031,19.582363446999807,33.29814641900157
2026-05-12T18:43:55.904000,3.023115271993447,20.322916803001135,32.61819375500636
2026-05-12T18:49:50.835350,3.0547268740047,19.86379358600243,32.6995137949998
2026-05-12T18:55:34.843898,3.0214114819973474,20.620629873003054,32.911003272995
2026-05-12T19:01:12.092274,2.9666684120020363,20.476739562000148,30.24482253500173
2026-05-12T19:06:42.439644,2.845879705993866,20.329187272996933,31.882384914002614
2026-05-12T19:12:14.426261,2.2429272109948215,20.45603240100172,29.514921260000847
2026-05-12T19:17:44.043761,3.400625513000705,20.493155327996647,32.3438831520034
2026-05-12T19:23:16.490180,3.444330186001025,20.924866997993377,30.762332676997175
2026-05-12T19:28:47.324018,3.235337753998465,21.166153343001497,32.019150352003635
2026-05-12T19:34:19.446037,3.2575247549975757,20.902189626001928,31.672550739000144
2026-05-12T19:39:51.120971,3.2729169279991766,21.546746517997235,32.70583206500305
2026-05-12T19:45:23.929460,3.2664262180041987,21.019874111996614,30.695994039000652
2026-05-12T19:50:54.728529,3.2185867090011016,20.87494201300433,31.33524832799594
2026-05-12T19:56:26.166752,3.206040989003668,21.236896563998016,31.59018814000592
2026-05-12T20:01:57.860244,3.0033638490058365,20.577571369998623,29.79900461199577
