timestamp,ticker,side,quantity,limit_price,status,order_id,error
2026-05-12T18:14:04.884126,AIRS,SELL,318,3.9492,accepted,95,
2026-05-12T18:14:04.884126,ALGM,SELL,278,44.4111,accepted,98,
2026-05-12T18:14:04.884126,BWEN,SELL,1334,3.2293,accepted,101,
2026-05-12T18:14:04.884126,CSGP,SELL,379,32.5785,accepted,104,
2026-05-12T18:14:04.884126,FIGR,BUY,438,38.4477,accepted,107,
2026-05-12T18:14:04.884126,FLNC,SELL,199,21.6257,accepted,110,
2026-05-12T18:14:04.884126,HNRG,SELL,629,19.6411,accepted,113,
2026-05-12T18:14:04.884126,MNST,SELL,144,85.6529,accepted,116,
2026-05-12T18:14:04.884126,MSFT,BUY,14,408.9719,accepted,119,
2026-05-12T18:14:04.884126,OKTA,SELL,157,78.6593,accepted,122,
2026-05-12T18:14:04.884126,PENG,SELL,103,41.8716,accepted,125,
2026-05-12T18:14:04.884126,PSIX,SELL,328,37.6425,accepted,128,
2026-05-12T18:14:04.884126,QUBT,BUY,1459,11.5463,accepted,131,
2026-05-12T18:14:04.884126,RELY,SELL,512,24.1302,accepted,134,
2026-05-12T18:14:04.884126,REPL,BUY,1475,3.9808,accepted,137,
2026-05-12T18:14:04.884126,SITM,SELL,6,819.626,accepted,140,
2026-05-12T18:14:04.884126,TIGO,SELL,152,81.2837,accepted,146,
2026-05-12T18:14:04.884126,ZBRA,BUY,68,246.6493,accepted,152,
2026-05-12T18:20:09.728138,AIRS,BUY,268,3.9508,accepted,155,
2026-05-12T18:20:09.728138,ALGM,SELL,180,44.4111,accepted,158,
2026-05-12T18:20:09.728138,BWEN,SELL,32,3.2293,accepted,161,
2026-05-12T18:20:09.728138,CDW,SELL,132,98.7302,accepted,164,
2026-05-12T18:20:09.728138,CSGP,SELL,402,32.5785,accepted,167,
2026-05-12T18:20:09.728138,FIGR,BUY,492,38.4477,accepted,170,
2026-05-12T18:20:09.728138,FLNC,SELL,5,21.6257,accepted,173,
2026-05-12T18:20:09.728138,HNRG,SELL,668,19.6411,accepted,176,
2026-05-12T18:20:09.728138,MNST,SELL,153,85.6529,accepted,179,
2026-05-12T18:20:09.728138,MSFT,BUY,3,408.9719,accepted,182,
2026-05-12T18:20:09.728138,OKTA,SELL,166,78.6593,accepted,185,
2026-05-12T18:20:09.728138,PSIX,SELL,348,37.6425,accepted,188,
2026-05-12T18:20:09.728138,QUBT,BUY,1638,11.5463,accepted,191,
2026-05-12T18:20:09.728138,RELY,SELL,543,24.1302,accepted,194,
2026-05-12T18:20:09.728138,REPL,BUY,364,3.9808,accepted,197,
2026-05-12T18:20:09.728138,SITM,SELL,5,819.626,accepted,200,
2026-05-12T18:20:09.728138,TIGO,SELL,161,81.2837,accepted,206,
2026-05-12T18:20:09.728138,ZBRA,BUY,76,246.6493,accepted,212,
2026-05-12T18:26:09.786429,AIRS,BUY,434,3.9508,accepted,215,
2026-05-12T18:26:09.786429,ALGM,BUY,150,44.4289,accepted,218,
2026-05-12T18:26:09.786429,BWEN,SELL,329,3.2293,accepted,221,
2026-05-12T18:26:09.786429,CSGP,SELL,455,32.5785,accepted,224,
2026-05-12T18:26:09.786429,FIGR,BUY,525,38.4477,accepted,227,
2026-05-12T18:26:09.786429,FLNC,SELL,49,21.6257,accepted,230,
2026-05-12T18:26:09.786429,HNRG,SELL,755,19.6411,accepted,233,
2026-05-12T18:26:09.786429,MNST,BUY,225,85.6871,accepted,236,
2026-05-12T18:26:09.786429,MSFT,BUY,1,408.9719,accepted,239,
2026-05-12T18:26:09.786429,OKTA,SELL,188,78.6593,accepted,242,
2026-05-12T18:26:09.786429,PENG,BUY,42,41.8884,accepted,245,
2026-05-12T18:26:09.786429,PSIX,BUY,176,37.6575,accepted,248,
2026-05-12T18:26:09.786429,QUBT,BUY,1750,11.5463,accepted,251,
2026-05-12T18:26:09.786429,RELY,SELL,615,24.1302,accepted,254,
2026-05-12T18:26:09.786429,REPL,SELL,43,3.9792,accepted,257,
2026-05-12T18:26:09.786429,SITM,SELL,1,819.626,accepted,260,
2026-05-12T18:26:09.786429,TIGO,SELL,182,81.2837,accepted,266,
2026-05-12T18:26:09.786429,ZBRA,BUY,81,246.6493,accepted,272,
2026-05-12T18:32:04.951937,AIRS,SELL,891,3.9492,accepted,275,
2026-05-12T18:32:04.951937,ALGM,BUY,149,44.4289,accepted,278,
2026-05-12T18:32:04.951937,BWEN,SELL,162,3.2293,accepted,281,
2026-05-12T18:32:04.951937,CDW,BUY,117,98.7698,accepted,284,
2026-05-12T18:32:04.951937,CSGP,SELL,423,32.5785,accepted,287,
2026-05-12T18:32:04.951937,FIGR,BUY,468,38.4477,accepted,290,
2026-05-12T18:32:04.951937,FLNC,SELL,24,21.6257,accepted,293,
2026-05-12T18:32:04.951937,HNRG,SELL,702,19.6411,accepted,296,
2026-05-12T18:32:04.951937,OKTA,SELL,175,78.6593,accepted,299,
2026-05-12T18:32:04.951937,PENG,BUY,298,41.8884,accepted,302,
2026-05-12T18:32:04.951937,PSIX,BUY,446,37.6575,accepted,305,
2026-05-12T18:32:04.951937,QUBT,BUY,1560,11.5463,accepted,308,
2026-05-12T18:32:04.951937,RELY,SELL,571,24.1302,accepted,311,
2026-05-12T18:32:04.951937,REPL,SELL,45,3.9792,accepted,314,
2026-05-12T18:32:04.951937,SITM,BUY,3,819.954,accepted,317,
2026-05-12T18:32:04.951937,TIGO,SELL,169,81.2837,accepted,323,
2026-05-12T18:32:04.951937,ZBRA,BUY,73,246.6493,accepted,329,
2026-05-12T18:38:00.526535,AIRS,SELL,873,3.9492,accepted,332,
2026-05-12T18:38:00.526535,ALGM,BUY,18,44.4289,accepted,335,
2026-05-12T18:38:00.526535,BWEN,SELL,32,3.2293,accepted,338,
2026-05-12T18:38:00.526535,CDW,BUY,10,98.7698,accepted,341,
2026-05-12T18:38:00.526535,CSGP,SELL,407,32.5785,accepted,344,
2026-05-12T18:38:00.526535,FIGR,BUY,448,38.4477,accepted,347,
2026-05-12T18:38:00.526535,FLNC,SELL,25,21.6257,accepted,350,
2026-05-12T18:38:00.526535,HNRG,BUY,507,19.6489,accepted,353,
2026-05-12T18:38:00.526535,OKTA,SELL,168,78.6593,accepted,356,
2026-05-12T18:38:00.526535,PENG,BUY,285,41.8884,accepted,359,
2026-05-12T18:38:00.526535,PSIX,BUY,428,37.6575,accepted,362,
2026-05-12T18:38:00.526535,QUBT,BUY,1493,11.5463,accepted,365,
2026-05-12T18:38:00.526535,RELY,SELL,550,24.1302,accepted,368,
2026-05-12T18:38:00.526535,REPL,BUY,41,3.9808,accepted,371,
2026-05-12T18:38:00.526535,SITM,BUY,3,819.954,accepted,374,
2026-05-12T18:38:00.526535,TIGO,SELL,163,81.2837,accepted,380,
2026-05-12T18:43:55.904000,AIRS,SELL,774,3.9492,accepted,386,
2026-05-12T18:43:55.904000,CDW,BUY,7,98.7698,accepted,389,
2026-05-12T18:43:55.904000,CSGP,SELL,359,32.5785,accepted,392,
2026-05-12T18:43:55.904000,FIGR,BUY,392,38.4477,accepted,395,
2026-05-12T18:43:55.904000,FLNC,BUY,11,21.6343,accepted,398,
2026-05-12T18:43:55.904000,OKTA,SELL,149,78.6593,accepted,401,
2026-05-12T18:43:55.904000,PENG,BUY,249,41.8884,accepted,404,
2026-05-12T18:43:55.904000,PSIX,BUY,394,37.6575,accepted,407,
2026-05-12T18:43:55.904000,QUBT,BUY,1305,11.5463,accepted,410,
2026-05-12T18:43:55.904000,RELY,SELL,485,24.1302,accepted,413,
2026-05-12T18:43:55.904000,REPL,BUY,43,3.9808,accepted,416,
2026-05-12T18:43:55.904000,SITM,BUY,3,819.954,accepted,419,
2026-05-12T18:43:55.904000,TIGO,SELL,144,81.2837,accepted,425,
2026-05-12T18:49:50.835350,AIRS,SELL,790,3.9492,accepted,431,
2026-05-12T18:49:50.835350,BWEN,SELL,40,3.2293,accepted,434,
2026-05-12T18:49:50.835350,CDW,BUY,5,98.7698,accepted,437,
2026-05-12T18:49:50.835350,CSGP,SELL,362,32.5785,accepted,440,
2026-05-12T18:49:50.835350,FIGR,BUY,392,38.4477,accepted,443,
2026-05-12T18:49:50.835350,FLNC,BUY,9,21.6343,accepted,446,
2026-05-12T18:49:50.835350,OKTA,SELL,150,78.6593,accepted,449,
2026-05-12T18:49:50.835350,PENG,BUY,248,41.8884,accepted,452,
2026-05-12T18:49:50.835350,PSIX,BUY,392,37.6575,accepted,455,
2026-05-12T18:49:50.835350,QUBT,BUY,1306,11.5463,accepted,458,
2026-05-12T18:49:50.835350,RELY,SELL,489,24.1302,accepted,461,
2026-05-12T18:49:50.835350,REPL,BUY,40,3.9808,accepted,464,
2026-05-12T18:49:50.835350,SITM,SELL,1,819.626,accepted,467,
2026-05-12T18:49:50.835350,TIGO,SELL,145,81.2837,accepted,473,
2026-05-12T18:55:34.843898,AIRS,SELL,749,3.9492,accepted,479,
2026-05-12T18:55:34.843898,CDW,SELL,5,98.7302,accepted,482,
2026-05-12T18:55:34.843898,CSGP,SELL,340,32.5785,accepted,485,
2026-05-12T18:55:34.843898,FIGR,BUY,366,38.4477,accepted,488,
2026-05-12T18:55:34.843898,FLNC,BUY,7,21.6343,accepted,491,
2026-05-12T18:55:34.843898,OKTA,SELL,140,78.6593,accepted,494,
2026-05-12T18:55:34.843898,PENG,BUY,232,41.8884,accepted,497,
2026-05-12T18:55:34.843898,QUBT,BUY,1220,11.5463,accepted,500,
2026-05-12T18:55:34.843898,RELY,SELL,459,24.1302,accepted,503,
2026-05-12T18:55:34.843898,REPL,BUY,27,3.9808,accepted,506,
2026-05-12T18:55:34.843898,SITM,SELL,3,819.626,accepted,509,
2026-05-12T18:55:34.843898,TIGO,SELL,136,81.2837,accepted,515,
2026-05-12T19:01:12.092274,AIRS,SELL,751,3.9492,accepted,521,
2026-05-12T19:01:12.092274,CDW,SELL,5,98.7302,accepted,524,
2026-05-12T19:01:12.092274,CSGP,SELL,340,32.5785,accepted,527,
2026-05-12T19:01:12.092274,FIGR,BUY,367,38.4477,accepted,530,
2026-05-12T19:01:12.092274,FLNC,BUY,8,21.6343,accepted,533,
2026-05-12T19:01:12.092274,OKTA,SELL,141,78.6593,accepted,536,
2026-05-12T19:01:12.092274,PENG,BUY,233,41.8884,accepted,539,
2026-05-12T19:01:12.092274,QUBT,BUY,1222,11.5463,accepted,542,
2026-05-12T19:01:12.092274,RELY,SELL,460,24.1302,accepted,545,
2026-05-12T19:01:12.092274,SITM,SELL,3,819.626,accepted,548,
2026-05-12T19:01:12.092274,TIGO,SELL,136,81.2837,accepted,554,
2026-05-12T19:06:42.439644,AIRS,SELL,543,3.9492,accepted,560,
2026-05-12T19:06:42.439644,ALGM,SELL,14,44.4111,accepted,563,
2026-05-12T19:06:42.439644,BWEN,SELL,202,3.2293,accepted,566,
2026-05-12T19:06:42.439644,CDW,SELL,4,98.7302,accepted,569,
2026-05-12T19:06:42.439644,CSGP,SELL,265,32.5785,accepted,572,
2026-05-12T19:06:42.439644,FIGR,BUY,265,38.4477,accepted,575,
2026-05-12T19:06:42.439644,FLNC,SELL,23,21.6257,accepted,578,
2026-05-12T19:06:42.439644,MNST,SELL,8,85.6529,accepted,581,
2026-05-12T19:06:42.439644,OKTA,SELL,110,78.6593,accepted,584,
2026-05-12T19:06:42.439644,PENG,BUY,168,41.8884,accepted,587,
2026-05-12T19:06:42.439644,RELY,SELL,358,24.1302,accepted,590,
2026-05-12T19:06:42.439644,TIGO,SELL,106,81.2837,accepted,596,
2026-05-12T19:12:14.426261,AIRS,SELL,428,3.9492,accepted,599,
2026-05-12T19:12:14.426261,ALGM,BUY,148,44.4289,accepted,602,
2026-05-12T19:12:14.426261,BWEN,SELL,257,3.2293,accepted,605,
2026-05-12T19:12:14.426261,CDW,SELL,3,98.7302,accepted,608,
2026-05-12T19:12:14.426261,FIGR,BUY,209,38.4477,accepted,611,
2026-05-12T19:12:14.426261,FLNC,SELL,44,21.6257,accepted,614,
2026-05-12T19:12:14.426261,MNST,SELL,13,85.6529,accepted,617,
2026-05-12T19:12:14.426261,OKTA,SELL,93,78.6593,accepted,620,
2026-05-12T19:12:14.426261,PENG,BUY,133,41.8884,accepted,623,
2026-05-12T19:12:14.426261,PSIX,SELL,550,37.6425,accepted,626,
2026-05-12T19:12:14.426261,RELY,SELL,306,24.1302,accepted,629,
2026-05-12T19:12:14.426261,TIGO,SELL,90,81.2837,accepted,635,
2026-05-12T19:17:44.043761,AIRS,BUY,2157,3.9508,accepted,638,
2026-05-12T19:17:44.043761,ALGM,BUY,144,44.4289,accepted,641,
2026-05-12T19:17:44.043761,CDW,SELL,3,98.7302,accepted,647,
2026-05-12T19:17:44.043761,FIGR,BUY,203,38.4477,accepted,650,
2026-05-12T19:17:44.043761,FLNC,SELL,35,21.6257,accepted,653,
2026-05-12T19:17:44.043761,MNST,SELL,12,85.6529,accepted,656,
2026-05-12T19:17:44.043761,OKTA,SELL,91,78.6593,accepted,659,
2026-05-12T19:17:44.043761,PENG,BUY,129,41.8884,accepted,662,
2026-05-12T19:17:44.043761,PSIX,SELL,533,37.6425,accepted,665,
2026-05-12T19:17:44.043761,RELY,SELL,297,24.1302,accepted,668,
2026-05-12T19:17:44.043761,TIGO,SELL,88,81.2837,accepted,674,
2026-05-12T19:23:16.490180,AIRS,BUY,1819,3.9508,accepted,677,
2026-05-12T19:23:16.490180,ALGM,BUY,121,44.4289,accepted,680,
2026-05-12T19:23:16.490180,BWEN,SELL,130,3.2293,accepted,683,
2026-05-12T19:23:16.490180,CDW,SELL,3,98.7302,accepted,686,
2026-05-12T19:23:16.490180,FIGR,BUY,171,38.4477,accepted,689,
2026-05-12T19:23:16.490180,FLNC,SELL,15,21.6257,accepted,692,
2026-05-12T19:23:16.490180,MNST,SELL,10,85.6529,accepted,695,
2026-05-12T19:23:16.490180,OKTA,SELL,76,78.6593,accepted,698,
2026-05-12T19:23:16.490180,PENG,BUY,109,41.8884,accepted,701,
2026-05-12T19:23:16.490180,PSIX,SELL,450,37.6425,accepted,704,
2026-05-12T19:23:16.490180,TIGO,SELL,74,81.2837,accepted,710,
2026-05-12T19:28:47.324018,AIRS,BUY,1827,3.9508,accepted,713,
2026-05-12T19:28:47.324018,ALGM,BUY,122,44.4289,accepted,716,
2026-05-12T19:28:47.324018,BWEN,SELL,88,3.2293,accepted,719,
2026-05-12T19:28:47.324018,CDW,SELL,3,98.7302,accepted,722,
2026-05-12T19:28:47.324018,FIGR,BUY,172,38.4477,accepted,725,
2026-05-12T19:28:47.324018,FLNC,SELL,15,21.6257,accepted,728,
2026-05-12T19:28:47.324018,MNST,BUY,3,85.6871,accepted,731,
2026-05-12T19:28:47.324018,OKTA,SELL,77,78.6593,accepted,734,
2026-05-12T19:28:47.324018,PENG,BUY,109,41.8884,accepted,737,
2026-05-12T19:28:47.324018,PSIX,SELL,452,37.6425,accepted,740,
2026-05-12T19:28:47.324018,TIGO,SELL,74,81.2837,accepted,746,
2026-05-12T19:34:19.446037,AIRS,BUY,1827,3.9508,accepted,749,
2026-05-12T19:34:19.446037,ALGM,BUY,122,44.4289,accepted,752,
2026-05-12T19:34:19.446037,CDW,SELL,3,98.7302,accepted,758,
2026-05-12T19:34:19.446037,FIGR,BUY,172,38.4477,accepted,761,
2026-05-12T19:34:19.446037,FLNC,SELL,15,21.6257,accepted,764,
2026-05-12T19:34:19.446037,MNST,BUY,2,85.6871,accepted,767,
2026-05-12T19:34:19.446037,OKTA,SELL,77,78.6593,accepted,770,
2026-05-12T19:34:19.446037,PENG,BUY,109,41.8884,accepted,773,
2026-05-12T19:34:19.446037,PSIX,SELL,452,37.6425,accepted,776,
2026-05-12T19:34:19.446037,REPL,SELL,107,3.9792,accepted,779,
2026-05-12T19:34:19.446037,TIGO,SELL,74,81.2837,accepted,785,
2026-05-12T19:39:51.120971,AIRS,BUY,2020,3.9508,accepted,788,
2026-05-12T19:39:51.120971,ALGM,BUY,144,44.4289,accepted,791,
2026-05-12T19:39:51.120971,BWEN,BUY,468,3.2305,accepted,794,
2026-05-12T19:39:51.120971,CDW,BUY,15,98.7698,accepted,797,
2026-05-12T19:39:51.120971,FIGR,BUY,194,38.4477,accepted,800,
2026-05-12T19:39:51.120971,FLNC,BUY,65,21.6343,accepted,803,
2026-05-12T19:39:51.120971,MNST,BUY,21,85.6871,accepted,806,
2026-05-12T19:39:51.120971,PENG,BUY,135,41.8884,accepted,809,
2026-05-12T19:39:51.120971,PSIX,BUY,584,37.6575,accepted,812,
2026-05-12T19:39:51.120971,SITM,BUY,2,819.954,accepted,815,
2026-05-12T19:39:51.120971,TIGO,SELL,44,81.2837,accepted,821,
2026-05-12T19:45:23.929460,AIRS,BUY,1877,3.9508,accepted,824,
2026-05-12T19:45:23.929460,ALGM,BUY,139,44.4289,accepted,827,
2026-05-12T19:45:23.929460,BWEN,BUY,430,3.2305,accepted,830,
2026-05-12T19:45:23.929460,CDW,BUY,9,98.7698,accepted,833,
2026-05-12T19:45:23.929460,FIGR,BUY,186,38.4477,accepted,836,
2026-05-12T19:45:23.929460,FLNC,BUY,41,21.6343,accepted,839,
2026-05-12T19:45:23.929460,MNST,BUY,20,85.6871,accepted,842,
2026-05-12T19:45:23.929460,PENG,BUY,130,41.8884,accepted,845,
2026-05-12T19:45:23.929460,SITM,BUY,2,819.954,accepted,848,
2026-05-12T19:45:23.929460,TIGO,SELL,44,81.2837,accepted,854,
2026-05-12T19:50:54.728529,AIRS,BUY,1838,3.9508,accepted,857,
2026-05-12T19:50:54.728529,ALGM,BUY,135,44.4289,accepted,860,
2026-05-12T19:50:54.728529,BWEN,BUY,393,3.2305,accepted,863,
2026-05-12T19:50:54.728529,CDW,BUY,6,98.7698,accepted,866,
2026-05-12T19:50:54.728529,FIGR,BUY,182,38.4477,accepted,869,
2026-05-12T19:50:54.728529,FLNC,BUY,25,21.6343,accepted,872,
2026-05-12T19:50:54.728529,MNST,BUY,13,85.6871,accepted,875,
2026-05-12T19:50:54.728529,PENG,BUY,127,41.8884,accepted,878,
2026-05-12T19:50:54.728529,SITM,BUY,2,819.954,accepted,881,
2026-05-12T19:50:54.728529,TIGO,SELL,45,81.2837,accepted,887,
2026-05-12T19:56:26.166752,AIRS,BUY,1820,3.9508,accepted,890,
