timestamp,ticker,side,quantity,limit_price,dry_run,paper_trading
2026-05-12T15:42:41.408444,AAON,BUY,144,141.6683,True,True
2026-05-12T15:42:41.408444,ABAT,BUY,6198,3.3114,True,True
2026-05-12T15:43:30.216887,AAON,BUY,144,141.6683,False,True
2026-05-12T15:43:30.216887,ABAT,BUY,6198,3.3114,False,True
2026-05-12T15:46:04.587938,AAON,BUY,144,141.6683,False,True
2026-05-12T15:46:04.587938,ABAT,BUY,6198,3.3114,False,True
2026-05-12T15:47:39.058353,AAON,BUY,144,141.6683,False,True
2026-05-12T15:47:39.058353,ABAT,BUY,6198,3.3114,False,True
2026-05-12T15:48:58.446223,AAON,BUY,144,141.6683,False,True
2026-05-12T15:48:58.446223,ABAT,BUY,6198,3.3114,False,True
2026-05-12T15:51:42.411403,AAON,BUY,161,127.4755,True,True
2026-05-12T15:51:42.411403,ABAT,BUY,6237,3.2907,True,True
2026-05-12T15:53:01.609803,AAON,BUY,159,128.5957,False,True
2026-05-12T15:53:01.609803,ABAT,BUY,6247,3.2857,False,True
2026-05-12T15:55:04.644418,AAON,BUY,158,129.7359,False,True
2026-05-12T15:55:04.644418,ABAT,BUY,6239,3.2895,False,True
2026-05-12T15:57:06.978854,AAON,SELL,14,141.6117,False,True
2026-05-12T15:57:06.978854,ABAT,BUY,6196,3.3114,False,True
2026-05-12T16:49:55.306320,AAOI,BUY,115,177.4055,False,True
2026-05-12T16:49:55.306320,AAON,SELL,158,128.6643,False,True
2026-05-12T16:49:55.306320,ABAT,SELL,6198,3.2044,False,True
2026-05-12T16:49:55.306320,ABNB,SELL,151,135.093,False,True
2026-05-12T16:49:55.306320,ADTX,SELL,15320,0.0984,False,True
2026-05-12T17:01:24.686746,AAOI,BUY,2,174.9686,False,True
2026-05-12T17:01:24.686746,AAON,SELL,158,128.3543,False,True
2026-05-12T17:01:24.686746,ABAT,SELL,6198,3.1494,False,True
2026-05-12T17:01:24.686746,ADTX,SELL,15320,0.0974,False,True
2026-05-12T17:01:24.686746,AIRJ,SELL,425,3.5943,False,True
2026-05-12T17:01:24.686746,AIRS,SELL,387,3.9992,False,True
2026-05-12T18:10:16.062087,AIRS,SELL,253,3.9492,False,True
2026-05-12T18:10:16.062087,ALGM,SELL,221,44.4111,False,True
2026-05-12T18:10:16.062087,BWEN,SELL,3041,3.2293,False,True
2026-05-12T18:10:16.062087,CSGP,SELL,301,32.5785,False,True
2026-05-12T18:10:16.062087,FIGR,BUY,348,38.4477,False,True
2026-05-12T18:10:16.062087,FLNC,SELL,454,21.6257,False,True
2026-05-12T18:10:16.062087,HNRG,SELL,499,19.6411,False,True
2026-05-12T18:10:16.062087,MNST,SELL,114,85.6529,False,True
2026-05-12T18:10:16.062087,MSFT,BUY,32,408.9719,False,True
2026-05-12T18:10:16.062087,OKTA,SELL,124,78.6593,False,True
2026-05-12T18:10:16.062087,PENG,SELL,234,41.8716,False,True
2026-05-12T18:10:16.062087,PSIX,SELL,260,37.6425,False,True
2026-05-12T18:10:16.062087,QUBT,BUY,1159,11.5463,False,True
2026-05-12T18:10:16.062087,RELY,SELL,406,24.1302,False,True
2026-05-12T18:10:16.062087,REPL,BUY,3361,3.9808,False,True
2026-05-12T18:10:16.062087,SITM,SELL,11,819.626,False,True
