timestamp,delayed_asof,fetch_asof,api_latency,compute_latency,number_of_symbols,number_valid_exposures,alpha_mean,alpha_std,number_candidates,estimated_turnover,number_orders,expected_gross_exposure,expected_net_exposure
2026-05-12T15:41:30.570805,2026-05-12T15:26:30.570805,2026-05-12T15:15:00,2.0364869160002854,1.462140690000524,5,0,,,0,0.0,0,0.0,0.0
2026-05-12T15:42:41.408444,2026-05-12T15:27:41.408444,2026-05-12T15:15:00,4.587025502001779,3.041006262999872,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:43:30.216887,2026-05-12T15:28:30.216887,2026-05-12T15:15:00,4.5832109350012615,3.5424513469988597,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:46:04.587938,2026-05-12T15:31:04.587938,2026-05-12T15:30:00,4.745534530000441,3.1050315569991653,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:47:39.058353,2026-05-12T15:32:39.058353,2026-05-12T15:30:00,5.172170756999549,3.0747081779991277,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:48:58.446223,2026-05-12T15:33:58.446223,2026-05-12T15:30:00,4.6824348140035,2.939719055997557,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:51:42.411403,2026-05-12T15:36:42.411403,2026-05-12T15:30:00,4.691128349997598,14.149488774997735,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:53:01.609803,2026-05-12T15:38:01.609803,2026-05-12T15:30:00,5.192097391998686,10.296320847999596,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:55:04.644418,2026-05-12T15:40:04.644418,2026-05-12T15:30:00,5.0186424020030245,10.08817638900291,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,2,0.04,0.04
2026-05-12T15:57:06.978854,2026-05-12T15:42:06.978854,2026-05-12T15:30:00,4.6695624089989,10.38942745500026,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.010902844999200337,2,0.04,0.04
2026-05-12T16:17:44.355141,2026-05-12T16:02:44.355141,2026-05-12T16:00:00,4.578477967999788,10.087546555001609,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,0,0.04,0.04
2026-05-12T16:18:45.919982,2026-05-12T16:03:45.919982,2026-05-12T16:00:00,5.154769450997264,10.06410746000256,10,10,-3.4694469519536144e-19,0.00377382336650849,2,0.02,0,0.04,0.04
2026-05-12T16:46:18.826745,2026-05-12T16:31:18.826745,2026-05-12T16:30:00,1.9671198729993193,0.24871275199984666,3,0,,,0,0.0,0,0.0,0.0
2026-05-12T16:49:55.306320,2026-05-12T16:34:55.306320,2026-05-12T16:30:00,40.64736319200165,13.11377685700063,100,31,-0.0027328383112963654,0.004572679584512315,2,0.04033211516761599,5,0.04,0.0
2026-05-12T17:01:24.686746,2026-05-12T16:46:24.686746,2026-05-12T16:45:00,3111.6718690099988,17.212713623001036,3287,32,-0.0027226134137462547,0.005624634592568365,2,0.02188420895013303,6,0.04,0.0
2026-05-12T18:14:04.884126,2026-05-12T17:59:04.884126,2026-05-12T17:45:00,2.9968185939978866,20.282116739999765,3287,873,-0.0028138768231386673,0.004701488979198655,19,0.1,20,0.26227034224202644,-0.08840956639093583
2026-05-12T18:20:09.728138,2026-05-12T18:05:09.728138,2026-05-12T18:00:00,3.2039515239994216,20.15675261599972,3287,873,-0.002816708248435006,0.004698783221222316,20,0.1,20,0.29376639946964256,-0.09865374868685745
2026-05-12T18:26:09.786429,2026-05-12T18:11:09.786429,2026-05-12T18:00:00,3.0199291669996455,19.85831270199924,3287,873,-0.002825068443938708,0.004702744279318332,18,0.0996873140328095,20,0.30718256875840644,-0.10063055739879392
2026-05-12T18:32:04.951937,2026-05-12T18:17:04.951937,2026-05-12T18:15:00,2.963907934001327,20.122099434996926,3287,873,-0.002834053175707329,0.004703581883558099,18,0.0997319847975495,19,0.28726271085848426,-0.10040489438153223
2026-05-12T18:38:00.526535,2026-05-12T18:23:00.526535,2026-05-12T18:15:00,3.017660554000031,19.582363446999807,3287,873,-0.002839545327161904,0.004703404772825034,18,0.10417453225514317,18,0.2892987785723635,-0.10037606967625089
2026-05-12T18:43:55.904000,2026-05-12T18:28:55.904000,2026-05-12T18:15:00,3.023115271993447,20.322916803001135,3287,873,-0.002840229149490799,0.004709940761154714,18,0.11145919307467175,15,0.2819151746921349,-0.10018645719752425
2026-05-12T18:49:50.835350,2026-05-12T18:34:50.835350,2026-05-12T18:30:00,3.0547268740047,19.86379358600243,3287,873,-0.002842220002406327,0.004705652645195398,18,0.11127520714649472,16,0.2811288500746544,-0.10004879888157991
2026-05-12T18:55:34.843898,2026-05-12T18:40:34.843898,2026-05-12T18:30:00,3.0214114819973474,20.620629873003054,3287,873,-0.002843427495431055,0.004695508692626164,18,0.11323949317972642,14,0.26036916480595884,-0.08248404921010291
2026-05-12T19:01:12.092274,2026-05-12T18:46:12.092274,2026-05-12T18:45:00,2.9666684120020363,20.476739562000148,3287,873,-0.0028382879527466156,0.004694671049605248,18,0.11317412152487161,13,0.2609142223709566,-0.08288383082353741
2026-05-12T19:06:42.439644,2026-05-12T18:51:42.439644,2026-05-12T18:45:00,2.845879705993866,20.329187272996933,3287,873,-0.0028540138786027312,0.004677547666946545,17,0.1542718016536836,13,0.2518801213717713,-0.05093658449807967
2026-05-12T19:12:14.426261,2026-05-12T18:57:14.426261,2026-05-12T18:45:00,2.2429272109948215,20.45603240100172,3287,873,-0.0028441398361708226,0.004692696971188258,16,0.1958052393501365,13,0.258657420451548,-0.05157946888463405
2026-05-12T19:17:44.043761,2026-05-12T19:02:44.043761,2026-05-12T19:00:00,3.400625513000705,20.493155327996647,3287,873,-0.00284126150312196,0.004697264498955734,16,0.19763392570846505,13,0.2701015442893226,-0.06742611878657953
2026-05-12T19:23:16.490180,2026-05-12T19:08:16.490180,2026-05-12T19:00:00,3.444330186001025,20.924866997993377,3287,873,-0.00284126150312196,0.004697264498955734,16,0.24603577820523648,12,0.28496873726815775,-0.07852425409219148
2026-05-12T19:28:47.324018,2026-05-12T19:13:47.324018,2026-05-12T19:00:00,3.235337753998465,21.166153343001497,3287,873,-0.00284126150312196,0.004697264498955734,16,0.2457438045290458,12,0.2876444646524324,-0.08128682700491784
2026-05-12T19:34:19.446037,2026-05-12T19:19:19.446037,2026-05-12T19:15:00,3.2575247549975757,20.902189626001928,3287,873,-0.00284126150312196,0.004697264498955734,16,0.24593019440966202,13,0.2878226475661836,-0.08119998208651581
2026-05-12T19:39:51.120971,2026-05-12T19:24:51.120971,2026-05-12T19:15:00,3.2729169279991766,21.546746517997235,3287,873,-0.00284126150312196,0.004697264498955734,16,0.3200859747894359,12,0.285243588789428,-0.10646844601531845
2026-05-12T19:45:23.929460,2026-05-12T19:30:23.929460,2026-05-12T19:30:00,3.2664262180041987,21.019874111996614,3287,873,-0.00284126150312196,0.004697264498955734,16,0.32682907156733587,11,0.2860643665053053,-0.10597387791291206
2026-05-12T19:50:54.728529,2026-05-12T19:35:54.728529,2026-05-12T19:30:00,3.2185867090011016,20.87494201300433,3287,873,-0.00284126150312196,0.004697264498955734,16,0.3258884366944697,11,0.28632797554271805,-0.1055105631681267
2026-05-12T19:56:26.166752,2026-05-12T19:41:26.166752,2026-05-12T19:30:00,3.206040989003668,21.236896563998016,3287,873,-0.00284126150312196,0.004697264498955734,16,0.32773144337604965,13,0.2870561247714922,-0.1055064664426336
2026-05-12T20:01:57.860244,2026-05-12T19:46:57.860244,2026-05-12T19:45:00,3.0033638490058365,20.577571369998623,3287,873,-0.00284126150312196,0.004697264498955734,16,0.3295409558892424,12,0.283758081007402,-0.10589711741146211
