ticker,side,quantity,limit_price,notional,ok,reason,timestamp
AAON,BUY,144,141.6683,20400.2352,True,,2026-05-12T15:42:41.408444
ABAT,BUY,6198,3.3114,20524.0572,True,,2026-05-12T15:42:41.408444
AAON,BUY,144,141.6683,20400.2352,True,,2026-05-12T15:43:30.216887
ABAT,BUY,6198,3.3114,20524.0572,True,,2026-05-12T15:43:30.216887
AAON,BUY,144,141.6683,20400.2352,True,,2026-05-12T15:46:04.587938
ABAT,BUY,6198,3.3114,20524.0572,True,,2026-05-12T15:46:04.587938
AAON,BUY,144,141.6683,20400.2352,True,,2026-05-12T15:47:39.058353
ABAT,BUY,6198,3.3114,20524.0572,True,,2026-05-12T15:47:39.058353
AAON,BUY,144,141.6683,20400.2352,True,,2026-05-12T15:48:58.446223
ABAT,BUY,6198,3.3114,20524.0572,True,,2026-05-12T15:48:58.446223
AAON,BUY,161,127.4755,20523.5555,True,,2026-05-12T15:51:42.411403
ABAT,BUY,6237,3.2907,20524.0959,True,,2026-05-12T15:51:42.411403
AAON,BUY,159,128.5957,20446.7163,True,,2026-05-12T15:53:01.609803
ABAT,BUY,6247,3.2857,20525.7679,True,,2026-05-12T15:53:01.609803
AAON,BUY,158,129.7359,20498.2722,True,,2026-05-12T15:55:04.644418
ABAT,BUY,6239,3.2895,20523.1905,True,,2026-05-12T15:55:04.644418
AAON,SELL,14,141.6117,1982.5638000000001,True,,2026-05-12T15:57:06.978854
ABAT,BUY,6196,3.3114,20517.4344,True,,2026-05-12T15:57:06.978854
AAOI,BUY,115,177.4055,20401.6325,True,,2026-05-12T16:49:55.306320
AAON,SELL,158,128.6643,20328.9594,True,,2026-05-12T16:49:55.306320
ABAT,SELL,6198,3.2044,19860.8712,True,,2026-05-12T16:49:55.306320
ABNB,SELL,151,135.093,20399.042999999998,True,,2026-05-12T16:49:55.306320
ADTX,SELL,15320,0.0984,1507.488,True,,2026-05-12T16:49:55.306320
AAOI,BUY,2,174.9686,349.9372,True,,2026-05-12T17:01:24.686746
AAON,SELL,158,128.3543,20279.9794,True,,2026-05-12T17:01:24.686746
ABAT,SELL,6198,3.1494,19519.9812,True,,2026-05-12T17:01:24.686746
ADTX,SELL,15320,0.0974,1492.1680000000001,True,,2026-05-12T17:01:24.686746
AIRJ,SELL,425,3.5943,1527.5775,True,,2026-05-12T17:01:24.686746
AIRS,SELL,387,3.9992,1547.6904,True,,2026-05-12T17:01:24.686746
AIRS,SELL,253,3.9492,999.1476,True,,2026-05-12T18:10:16.062087
ALGM,SELL,221,44.4111,9814.8531,True,,2026-05-12T18:10:16.062087
BWEN,SELL,3041,3.2293,9820.3013,True,,2026-05-12T18:10:16.062087
CSGP,SELL,301,32.5785,9806.128499999999,True,,2026-05-12T18:10:16.062087
FIGR,BUY,348,38.4477,13379.799599999998,True,,2026-05-12T18:10:16.062087
FLNC,SELL,454,21.6257,9818.067799999999,True,,2026-05-12T18:10:16.062087
HNRG,SELL,499,19.6411,9800.9089,True,,2026-05-12T18:10:16.062087
MNST,SELL,114,85.6529,9764.4306,True,,2026-05-12T18:10:16.062087
MSFT,BUY,32,408.9719,13087.1008,True,,2026-05-12T18:10:16.062087
OKTA,SELL,124,78.6593,9753.753200000001,True,,2026-05-12T18:10:16.062087
PENG,SELL,234,41.8716,9797.9544,True,,2026-05-12T18:10:16.062087
PSIX,SELL,260,37.6425,9787.05,True,,2026-05-12T18:10:16.062087
QUBT,BUY,1159,11.5463,13382.1617,True,,2026-05-12T18:10:16.062087
RELY,SELL,406,24.1302,9796.8612,True,,2026-05-12T18:10:16.062087
REPL,BUY,3361,3.9808,13379.468799999999,True,,2026-05-12T18:10:16.062087
SITM,SELL,11,819.626,9015.886,True,,2026-05-12T18:10:16.062087
TDIC,SELL,4632,2.1197,9818.4504,True,,2026-05-12T18:10:16.062087
TIGO,SELL,120,81.2837,9754.044,True,,2026-05-12T18:10:16.062087
WOK,SELL,2372,4.1392,9818.1824,True,,2026-05-12T18:10:16.062087
ZBRA,BUY,54,246.6493,13319.0622,True,,2026-05-12T18:10:16.062087
AIRS,SELL,318,3.9492,1255.8455999999999,True,,2026-05-12T18:14:04.884126
ALGM,SELL,278,44.4111,12346.2858,True,,2026-05-12T18:14:04.884126
BWEN,SELL,1334,3.2293,4307.8862,True,,2026-05-12T18:14:04.884126
CSGP,SELL,379,32.5785,12347.251499999998,True,,2026-05-12T18:14:04.884126
FIGR,BUY,438,38.4477,16840.0926,True,,2026-05-12T18:14:04.884126
FLNC,SELL,199,21.6257,4303.5143,True,,2026-05-12T18:14:04.884126
HNRG,SELL,629,19.6411,12354.251900000001,True,,2026-05-12T18:14:04.884126
MNST,SELL,144,85.6529,12334.017600000001,True,,2026-05-12T18:14:04.884126
MSFT,BUY,14,408.9719,5725.6066,True,,2026-05-12T18:14:04.884126
OKTA,SELL,157,78.6593,12349.5101,True,,2026-05-12T18:14:04.884126
PENG,SELL,103,41.8716,4312.7748,True,,2026-05-12T18:14:04.884126
PSIX,SELL,328,37.6425,12346.74,True,,2026-05-12T18:14:04.884126
QUBT,BUY,1459,11.5463,16846.0517,True,,2026-05-12T18:14:04.884126
RELY,SELL,512,24.1302,12354.6624,True,,2026-05-12T18:14:04.884126
REPL,BUY,1475,3.9808,5871.68,True,,2026-05-12T18:14:04.884126
SITM,SELL,6,819.626,4917.755999999999,True,,2026-05-12T18:14:04.884126
TDIC,SELL,5833,2.1197,12364.2101,True,,2026-05-12T18:14:04.884126
TIGO,SELL,152,81.2837,12355.1224,True,,2026-05-12T18:14:04.884126
WOK,SELL,2987,4.1392,12363.7904,True,,2026-05-12T18:14:04.884126
ZBRA,BUY,68,246.6493,16772.1524,True,,2026-05-12T18:14:04.884126
AIRS,BUY,268,3.9508,1058.8144,True,,2026-05-12T18:20:09.728138
ALGM,SELL,180,44.4111,7993.998,True,,2026-05-12T18:20:09.728138
BWEN,SELL,32,3.2293,103.3376,True,,2026-05-12T18:20:09.728138
CDW,SELL,132,98.7302,13032.3864,True,,2026-05-12T18:20:09.728138
CSGP,SELL,402,32.5785,13096.556999999999,True,,2026-05-12T18:20:09.728138
FIGR,BUY,492,38.4477,18916.268399999997,True,,2026-05-12T18:20:09.728138
FLNC,SELL,5,21.6257,108.12849999999999,True,,2026-05-12T18:20:09.728138
HNRG,SELL,668,19.6411,13120.2548,True,,2026-05-12T18:20:09.728138
MNST,SELL,153,85.6529,13104.8937,True,,2026-05-12T18:20:09.728138
MSFT,BUY,3,408.9719,1226.9157,True,,2026-05-12T18:20:09.728138
OKTA,SELL,166,78.6593,13057.443800000001,True,,2026-05-12T18:20:09.728138
PSIX,SELL,348,37.6425,13099.59,True,,2026-05-12T18:20:09.728138
QUBT,BUY,1638,11.5463,18912.8394,True,,2026-05-12T18:20:09.728138
RELY,SELL,543,24.1302,13102.6986,True,,2026-05-12T18:20:09.728138
