timestamp,ticker,side,quantity,limit_price,status,error_type,error
2026-05-12T18:14:04.884126,TDIC,SELL,5833,2.1197,rejected,RuntimeError,IBKR paper order 143 TDIC status=Inactive: 
2026-05-12T18:14:04.884126,WOK,SELL,2987,4.1392,rejected,RuntimeError,IBKR paper order 149 WOK status=Inactive: 
2026-05-12T18:20:09.728138,TDIC,SELL,6191,2.1197,rejected,RuntimeError,IBKR paper order 203 TDIC status=Inactive: 
2026-05-12T18:20:09.728138,WOK,SELL,3170,4.1392,rejected,RuntimeError,IBKR paper order 209 WOK status=Inactive: 
2026-05-12T18:26:09.786429,TDIC,SELL,7004,2.1197,rejected,RuntimeError,IBKR paper order 263 TDIC status=Inactive: 
2026-05-12T18:26:09.786429,WOK,SELL,3586,4.1392,rejected,RuntimeError,IBKR paper order 269 WOK status=Inactive: 
2026-05-12T18:32:04.951937,TDIC,SELL,6506,2.1197,rejected,RuntimeError,IBKR paper order 320 TDIC status=Inactive: 
2026-05-12T18:32:04.951937,WOK,SELL,3332,4.1392,rejected,RuntimeError,IBKR paper order 326 WOK status=Inactive: 
2026-05-12T18:38:00.526535,TDIC,SELL,6270,2.1197,rejected,RuntimeError,IBKR paper order 377 TDIC status=Inactive: 
2026-05-12T18:38:00.526535,WOK,SELL,3211,4.1392,rejected,RuntimeError,IBKR paper order 383 WOK status=Inactive: 
2026-05-12T18:43:55.904000,TDIC,SELL,5532,2.1197,rejected,RuntimeError,IBKR paper order 422 TDIC status=Inactive: 
2026-05-12T18:43:55.904000,WOK,SELL,2833,4.1392,rejected,RuntimeError,IBKR paper order 428 WOK status=Inactive: 
2026-05-12T18:49:50.835350,TDIC,SELL,5568,2.1197,rejected,RuntimeError,IBKR paper order 470 TDIC status=Inactive: 
2026-05-12T18:49:50.835350,WOK,SELL,2851,4.1392,rejected,RuntimeError,IBKR paper order 476 WOK status=Inactive: 
2026-05-12T18:55:34.843898,TDIC,SELL,5231,2.1197,rejected,RuntimeError,IBKR paper order 512 TDIC status=Inactive: 
2026-05-12T18:55:34.843898,WOK,SELL,2678,4.1392,rejected,RuntimeError,IBKR paper order 518 WOK status=Inactive: 
2026-05-12T19:01:12.092274,TDIC,SELL,5239,2.1197,rejected,RuntimeError,IBKR paper order 551 TDIC status=Inactive: 
2026-05-12T19:01:12.092274,WOK,SELL,2683,4.1392,rejected,RuntimeError,IBKR paper order 557 WOK status=Inactive: 
2026-05-12T19:06:42.439644,TDIC,SELL,4082,2.1197,rejected,RuntimeError,IBKR paper order 593 TDIC status=Inactive: 
2026-05-12T19:12:14.426261,TDIC,SELL,3485,2.1197,rejected,RuntimeError,IBKR paper order 632 TDIC status=Inactive: 
2026-05-12T19:17:44.043761,BWEN,SELL,154,3.2293,rejected,RuntimeError,IBKR paper order 644 BWEN status=Cancelled: 
2026-05-12T19:17:44.043761,TDIC,SELL,3381,2.1197,rejected,RuntimeError,IBKR paper order 671 TDIC status=Inactive: 
2026-05-12T19:23:16.490180,TDIC,SELL,2852,2.1197,rejected,RuntimeError,IBKR paper order 707 TDIC status=Inactive: 
2026-05-12T19:28:47.324018,TDIC,SELL,2864,2.1197,rejected,RuntimeError,IBKR paper order 743 TDIC status=Inactive: 
2026-05-12T19:34:19.446037,BWEN,SELL,60,3.2293,rejected,RuntimeError,IBKR paper order 755 BWEN status=Cancelled: 
2026-05-12T19:34:19.446037,TDIC,SELL,2863,2.1197,rejected,RuntimeError,IBKR paper order 782 TDIC status=Inactive: 
2026-05-12T19:39:51.120971,TDIC,SELL,1703,2.1197,rejected,RuntimeError,IBKR paper order 818 TDIC status=Inactive: 
2026-05-12T19:45:23.929460,TDIC,SELL,1700,2.1197,rejected,RuntimeError,IBKR paper order 851 TDIC status=Inactive: 
2026-05-12T19:50:54.728529,TDIC,SELL,1746,2.1197,rejected,RuntimeError,IBKR paper order 884 TDIC status=Inactive: 
2026-05-12T19:56:26.166752,TDIC,SELL,1728,2.1197,rejected,RuntimeError,IBKR paper order 923 TDIC status=Inactive: 
2026-05-12T20:01:57.860244,AIRS,BUY,1846,3.9508,rejected,RuntimeError,IBKR paper order 929 AIRS status=Inactive: 
2026-05-12T20:01:57.860244,ALGM,BUY,136,44.4289,rejected,RuntimeError,IBKR paper order 932 ALGM status=Inactive: 
2026-05-12T20:01:57.860244,FIGR,BUY,182,38.4477,rejected,RuntimeError,IBKR paper order 941 FIGR status=Inactive: 
2026-05-12T20:01:57.860244,PENG,BUY,128,41.8884,rejected,RuntimeError,IBKR paper order 953 PENG status=Inactive: 
2026-05-12T20:01:57.860244,TDIC,SELL,1680,2.1197,rejected,RuntimeError,IBKR paper order 959 TDIC status=Inactive: 
