signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity
2024-01-02,2024-01-03,-0.0014474908011429875,-0.0014174908011429874,2.9999999999999997e-05,0.0,0.1,0.2,0.0,0.1,-0.1,94,94,1.0,1.0,1.0,1.0,,,0.0,0.998552509198857,-0.0014474908011430365,0.998552509198857
2024-01-03,2024-01-04,0.002090035387879863,0.002120035387879863,2.9999999999999997e-05,0.0,0.1,0.3534201688813601,0.000838555520490507,0.1771293622009253,-0.1762908066804348,128,124,1.0,1.0,1.0,1.0,,,0.0,1.0006395192797388,0.0006395192797388205,1.0006395192797388
2024-01-04,2024-01-05,-0.002907588057153201,-0.002877588057153201,2.9999999999999997e-05,0.0,0.1,0.49287426546760826,0.0016220107794469498,0.2472481381235276,-0.24562612734408065,154,144,1.0,1.0,1.0,1.0,0.039708632988190856,0.0012706144916918448,-0.0029075880571531876,0.9977300717639656,-0.0022699282360344464,1.0006395192797388
2024-01-05,2024-01-08,0.010439365356205084,0.010469365356205084,2.9999999999999997e-05,0.0,0.1,0.5924781715880296,0.003961271040205953,0.2982197213141179,-0.2942584502739119,179,160,1.0,1.0,1.0,1.0,0.04079378698529667,0.0027615783315521796,0.0,1.0081457405099823,0.008145740509982291,1.0081457405099823
2024-01-08,2024-01-09,0.0006881884146964467,0.0007181884146964467,2.9999999999999994e-05,0.0,0.09999999999999999,0.6793862104154949,0.0027385228791267716,0.3410623666473108,-0.33832384376818403,195,178,1.0,1.0,1.0,1.0,0.09489053096500709,0.0026885734687516686,0.0,1.008839534728927,0.008839534728926957,1.008839534728927
2024-01-09,2024-01-10,-0.007707106485586575,-0.007677106485586576,2.9999999999999997e-05,0.0,0.1,0.7370879997284179,0.007837401270596235,0.372462700499507,-0.36462529922891085,218,198,1.0,1.0,1.0,1.0,0.08273904076396994,0.002615568605951158,-0.00770710648558659,1.0010643010079014,0.001064301007901447,1.008839534728927
2024-01-10,2024-01-11,0.0040488162778045894,0.004078816277804589,2.999999999999999e-05,0.0,0.09999999999999998,0.7914863111949438,0.002873174391525877,0.3971797427932348,-0.39430656840170897,231,215,1.0,1.0,1.0,1.0,0.09618130887427251,0.006507226878478231,-0.0036894948659758064,1.0051174264449512,0.0051174264449511675,1.008839534728927
2024-01-11,2024-01-12,0.0005600173334394252,0.0005900173334394251,3.0000000000000008e-05,0.0,0.10000000000000003,0.8270906121117225,0.005197999231180692,0.4161443056714516,-0.41094630644027086,247,226,1.0,1.0,1.0,1.0,0.0907985706700362,0.006267250957056562,-0.0031315437136129054,1.0056803096259024,0.00568030962590238,1.008839534728927
2024-01-12,2024-01-16,-0.0016967381564808814,-0.0016667381564808813,2.9999999999999997e-05,0.0,0.1,0.8590474936623167,0.009320652821364444,0.43418407324184055,-0.4248634204204761,261,248,1.0,1.0,1.0,1.0,0.08406944638437569,0.006027275035634893,-0.004822968460386212,1.0039739334713387,0.003973933471338675,1.008839534728927
2024-01-16,2024-01-17,0.006849692004342285,0.006879692004342285,2.9999999999999997e-05,0.0,0.1,0.8647014734073591,0.004266550414512247,0.4344840119109357,-0.4302174614964235,269,277,1.0,1.0,1.0,1.0,0.0796732199953723,0.005787299114213224,0.0,1.0108508456960055,0.010850845696005473,1.0108508456960055
2024-01-17,2024-01-18,-0.0003292627164400984,-0.00029926271644009845,2.9999999999999997e-05,0.0,0.1,0.871763864437554,-0.0009543177964782164,0.4354047733205379,-0.4363590911170161,287,298,1.0,1.0,1.0,1.0,0.08169439416229209,0.005547323192791555,-0.00032926271644007077,1.010518010200636,0.010518010200635919,1.0108508456960055
2024-01-18,2024-01-19,0.005796434185889887,0.005826434185889887,2.9999999999999997e-05,0.0,0.1,0.8690439148713002,-0.000279819111570892,0.4343820478798647,-0.4346618669914355,302,324,1.0,1.0,1.0,1.0,0.0777999641859097,0.005307347271369886,0.0,1.0163754113404202,0.0163754113404202,1.0163754113404202
2024-01-19,2024-01-22,0.0038083817247920896,0.0038383817247920897,2.9999999999999997e-05,0.0,0.1,0.8786318107959238,-0.0012147635660630304,0.4387085236149304,-0.4399232871809934,314,339,1.0,1.0,1.0,1.0,0.0774162396162109,0.005067371349948217,0.0,1.020246156882497,0.02024615688249698,1.020246156882497
2024-01-22,2024-01-23,-0.004586595948169405,-0.004556595948169405,2.9999999999999997e-05,0.0,0.1,0.8981161456773119,-0.0021812291362652697,0.4479674582705233,-0.4501486874067886,316,352,1.0,1.0,1.0,1.0,0.07489678614560448,0.004827395428526548,-0.0045865959481694585,1.0155666999932043,0.015566699993204258,1.020246156882497
2024-01-23,2024-01-24,0.0025900252507664962,0.0026200252507664963,2.9999999999999997e-05,0.0,0.1,0.9091660617703924,0.0006503528816796805,0.4549082073260361,-0.4542578544443564,326,357,1.0,1.0,1.0,1.0,0.07652838383877797,0.005678774636265413,-0.0020084500967237906,1.0181970433900243,0.01819704339002426,1.020246156882497
2024-01-24,2024-01-25,-0.005683267938573068,-0.005653267938573068,2.9999999999999997e-05,0.0,0.1,0.913731715688201,0.0020874460787721136,0.4579095808834866,-0.45582213480471456,338,371,1.0,1.0,1.0,1.0,0.07399209965029785,0.005522749109394554,-0.007680303475256056,1.0124103567781757,0.012410356778175702,1.020246156882497
2024-01-25,2024-01-26,-0.0030422150728135907,-0.0030122150728135906,2.9999999999999997e-05,0.0,0.1,0.9226639257501724,0.003201550087015108,0.4629327379185937,-0.4597311878315786,358,378,1.0,1.0,1.0,1.0,0.07654348858397426,0.006189227575326443,-0.010699153413073259,1.0093303867309127,0.009330386730912688,1.020246156882497
2024-01-26,2024-01-29,-0.0010609561551839022,-0.0010309561551839022,2.9999999999999997e-05,0.0,0.1,0.9261390531948305,0.0038553639506888546,0.46499720857275967,-0.4611418446220708,370,392,1.0,1.0,1.0,1.0,0.07556135890138188,0.006088035647975768,-0.011748758235588297,1.0082595314444964,0.008259531444496426,1.020246156882497
