month,monthly_return,monthly_equity
2024-01,0.022632722536432892,1.022632722536433
2024-02,0.094327311494526,1.1190949178996221
2024-03,0.013998286580460206,1.1347603292711177
2024-04,0.031448092784760906,1.1704463773945017
2024-05,0.045020920501029016,1.223140950701897
2024-06,0.0529279924110464,1.287879345658287
2024-07,0.02921497786759919,1.325504712237832
2024-08,0.06769291669219757,1.4152319922984629
2024-09,0.07070904148804713,1.5153016899571066
2024-10,0.07779274323081009,1.6331811652411523
2024-11,0.05401181441901626,1.7213922432507902
2024-12,0.06467897668887601,1.83273013202442
2025-01,0.020274990916564484,1.8698887188037292
2025-02,0.0831826135164695,2.0254309494187863
2025-03,0.09837293375193434,2.224678534025078
2025-04,0.04006942821879145,2.313820130854082
2025-05,0.08709923330119973,2.515352090248354
2025-06,0.10367323352851199,2.7761267749071026
2025-07,0.03210613398709783,2.8652574731074396
2025-08,0.056582344726469724,3.027380459180898
2025-09,0.058988985536176264,3.205962561300023
2025-10,0.12120851347765016,3.5945525176201985
2025-11,0.07389056588146636,3.8601560372378043
2025-12,0.06892641904267927,4.126222769830585
2026-01,0.03584195056717099,4.274114642375989
2026-02,0.08823345791452142,4.65123455679591
2026-03,0.034508031807179096,4.811739506824474
2026-04,-0.001932802473732953,4.8024393648027255
2026-05,0.05906031933454314,5.086072967272755
