signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,traded_notional,requested_gross_exposure,filled_gross_exposure_before_risk,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,equity,cumulative_return,peak_equity,drawdown,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown_control
2024-01-02,2024-01-03,-0.005631362114593319,-0.0053330666600478645,0.0002982954545454545,0.0,0.49715909090909094,0.9943181818181819,1.0,0.9943181818181819,0.9943181818181819,0.005681818181818184,0.5,-0.4943181818181818,88,87,0.9943686378854066,-0.0056313621145933634,0.9943686378854066,0.0,1.0,1.0,1.0,1.0,,,0.0
2024-01-03,2024-01-04,-0.0022239740991144164,-0.0019461331900235074,0.0002778409090909091,0.0,0.4630681818181819,0.9261363636363638,1.0,1.0,1.0,6.938893903907228e-18,0.49999999999999994,-0.5,77,77,0.9921571877897778,-0.007842812210222205,0.9943686378854066,-0.0022239740991144563,1.0,1.0,1.0,1.0,,,0.0056313621145933634
2024-01-04,2024-01-05,0.0012849115590539814,0.0014911615590539815,0.00020624999999999997,0.0,0.34375,0.6875,1.0,0.9875,0.9875,0.012500000000000004,0.5,-0.4875,80,78,0.9934320220287675,-0.0065679779712325415,0.9943686378854066,-0.0009419201500873164,1.0,1.0,1.0,1.0,0.038247835613164916,0.005460992713819374,0.007842812210222205
2024-01-05,2024-01-08,0.01060939896400717,0.01082689896400717,0.0002175,0.0,0.36250000000000004,0.7250000000000001,1.0,1.0,1.0,-3.469446951953614e-18,0.5,-0.5,77,77,1.0039717386940912,0.003971738694091176,1.0039717386940912,0.0,1.0,1.0,1.0,1.0,0.054898190803654594,0.0052906233130454285,0.0065679779712325415
2024-01-08,2024-01-09,-0.008522572124191694,-0.00828923879085836,0.00023333333333333336,0.0,0.38888888888888895,0.7777777777777779,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.5,-0.49999999999999994,81,81,0.9954153171404206,-0.004584682859579359,1.0039717386940912,-0.008522572124191719,1.0,1.0,1.0,1.0,0.11104227359795549,0.005120253912271483,0.0
2024-01-09,2024-01-10,-0.01879713292373432,-0.018589178378279773,0.00020795454545454543,0.0,0.34659090909090906,0.6931818181818181,1.0,1.0,1.0,1.0408340855860843e-17,0.49999999999999994,-0.5,88,88,0.976704363109811,-0.023295636890188987,1.0039717386940912,-0.0271595051268555,1.0,1.0,1.0,1.0,0.1175899147167293,0.007944330122272018,0.008522572124191719
2024-01-10,2024-01-11,0.0005125865431377945,0.0006984561083551858,0.00018586956521739127,0.0,0.30978260869565216,0.6195652173913043,1.0,1.0,1.0,0.0,0.5,-0.5,92,92,0.9772050086229652,-0.02279499137703478,1.0039717386940912,-0.026660840180563805,1.0,1.0,1.0,1.0,0.15658784106978202,0.016228492723848662,0.0271595051268555
2024-01-11,2024-01-12,0.001670211439601422,0.0018658636135144653,0.00019565217391304346,0.0,0.32608695652173914,0.6521739130434783,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.5,85,85,0.9788371476072031,-0.021162852392796916,1.0039717386940912,-0.025035157981221356,1.0,1.0,1.0,1.0,0.14535397674758738,0.015714764683871528,0.026660840180563805
2024-01-12,2024-01-16,-0.01009750904261967,-0.00988229165131532,0.0002152173913043478,0.0,0.358695652173913,0.717391304347826,1.0,1.0,1.0,-6.938893903907228e-18,0.5,-0.49999999999999994,92,92,0.9689533306579874,-0.03104666934201261,1.0039717386940912,-0.03487987428974215,1.0,1.0,1.0,1.0,0.13737865659274023,0.015201036643894397,0.025035157981221356
2024-01-16,2024-01-17,-0.0032402419567296903,-0.0029598071741209946,0.00028043478260869565,0.0,0.4673913043478261,0.9347826086956522,1.0,1.0,1.0,-6.938893903907228e-18,0.5,-0.5,77,77,0.9658136874218765,-0.034186312578123546,1.0039717386940912,-0.038007097014352786,1.0,1.0,1.0,1.0,0.13443265937807214,0.015317283371288456,0.03487987428974215
