long_threshold_alpha,short_threshold_alpha,cost_adjusted_alpha_threshold,trading_cost_return,min_net_alpha_after_cost,filtered_missing_or_untradable,filtered_price,filtered_liquidity,filtered_alpha_threshold,row,final_number_long,final_number_short
0.0034897077863151925,-0.00262839236130959,0.0007999999999999999,0.0003,0.0005,4347,1272,1597,904,0,88,88
0.0024609775636761128,-0.002949570831156612,0.0007999999999999999,0.0003,0.0005,4353,1281,1632,1075,1,77,77
0.002722451915272442,-0.0029192395434618984,0.0007999999999999999,0.0003,0.0005,4335,1272,1639,1038,2,80,80
0.0022696545186544556,-0.0027069926503996366,0.0007999999999999999,0.0003,0.0005,4370,1275,1550,1054,3,77,77
0.003475006238399411,-0.0027632148942253903,0.0007999999999999999,0.0003,0.0005,4344,1267,1644,1010,4,81,81
0.0033107813590167027,-0.0029730674555869816,0.0007999999999999999,0.0003,0.0005,4358,1275,1640,954,5,88,88
0.0029434505338587157,-0.0031423708142966147,0.0007999999999999999,0.0003,0.0005,4352,1276,1663,894,6,92,92
0.002694390365138992,-0.003070172968937671,0.0007999999999999999,0.0003,0.0005,4356,1283,1673,1007,7,85,85
0.0015165379438127752,-0.0030505803451215006,0.0007999999999999999,0.0003,0.0005,4360,1286,1687,906,8,92,92
0.0026981946761290964,-0.0028238404062485532,0.0007999999999999999,0.0003,0.0005,4329,1302,1689,914,9,77,77
0.002740410483045175,-0.0027465565540643142,0.0007999999999999999,0.0003,0.0005,4349,1316,1687,914,10,77,77
0.002372733884454847,-0.0023798670936338788,0.0007999999999999999,0.0003,0.0005,4358,1310,1677,868,11,75,75
0.0027069190142449797,-0.002034742821206335,0.0007999999999999999,0.0003,0.0005,4344,1317,1697,809,12,79,79
0.0032512641649897834,-0.00118432442995162,0.0007999999999999999,0.0003,0.0005,4340,1306,1653,924,13,84,84
0.0029367038778795517,-0.0014385304936403711,0.0007999999999999999,0.0003,0.0005,4338,1299,1702,972,14,75,75
0.0025013996741497617,-0.0017485364842468295,0.0007999999999999999,0.0003,0.0005,4348,1303,1682,868,15,77,77
0.002513920758863091,-0.0016926216297288748,0.0007999999999999999,0.0003,0.0005,4345,1303,1674,848,16,81,81
0.0023673615236270264,-0.0019570695635353083,0.0007999999999999999,0.0003,0.0005,4353,1301,1709,895,17,73,73
0.0027748652473992322,-0.0015304454524825198,0.0007999999999999999,0.0003,0.0005,4329,1283,1646,998,18,82,82
0.003056749036728878,-0.0014644773764051222,0.0007999999999999999,0.0003,0.0005,4337,1295,1687,1060,19,76,76
0.0035012053335075344,-0.0012493394264477375,0.0007999999999999999,0.0003,0.0005,4328,1299,1639,1094,20,83,83
0.004996324436933244,-0.0013489048796255123,0.0007999999999999999,0.0003,0.0005,4357,1298,1606,1116,21,81,81
0.005689802118666899,-0.0012158707286276389,0.0007999999999999999,0.0003,0.0005,4355,1300,1666,1060,22,84,84
0.005578191956575018,-0.0014617596659158506,0.0007999999999999999,0.0003,0.0005,4330,1310,1678,961,23,91,91
0.005836196938749281,-0.0016853484323786031,0.0007999999999999999,0.0003,0.0005,4353,1306,1644,946,24,89,89
